nm,AGoMG50,AGoMG20,AGoMG,AGoMG05
288.5,0.595,0.609,0.709,0.277
289.0,0.586,0.6,0.699,0.273
289.5,0.577,0.591,0.689,0.27
290.0,0.569,0.583,0.68,0.266
290.5,0.561,0.575,0.671,0.262
291.0,0.553,0.567,0.662,0.258
291.5,0.546,0.56,0.653,0.255
292.0,0.538,0.552,0.645,0.251
292.5,0.531,0.545,0.637,0.249
293.0,0.524,0.538,0.63,0.246
293.5,0.518,0.532,0.623,0.242
294.0,0.512,0.526,0.616,0.239
294.5,0.507,0.521,0.61,0.235
295.0,0.502,0.517,0.605,0.233
295.5,0.497,0.512,0.599,0.23
296.0,0.492,0.507,0.593,0.229
296.5,0.487,0.502,0.589,0.227
297.0,0.483,0.497,0.584,0.226
297.5,0.479,0.493,0.58,0.224
298.0,0.476,0.49,0.576,0.222
298.5,0.473,0.486,0.573,0.22
299.0,0.47,0.483,0.57,0.218
299.5,0.468,0.481,0.567,0.217
300.0,0.466,0.479,0.564,0.216
300.5,0.463,0.477,0.561,0.215
301.0,0.46,0.474,0.558,0.215
301.5,0.457,0.471,0.555,0.214
302.0,0.455,0.469,0.553,0.213
302.5,0.453,0.467,0.552,0.211
303.0,0.452,0.466,0.55,0.21
303.5,0.452,0.465,0.548,0.209
304.0,0.451,0.463,0.546,0.209
304.5,0.449,0.461,0.543,0.209
305.0,0.447,0.459,0.541,0.209
305.5,0.446,0.458,0.54,0.209
306.0,0.444,0.458,0.539,0.208
306.5,0.443,0.456,0.539,0.207
307.0,0.442,0.455,0.538,0.206
307.5,0.441,0.453,0.537,0.205
308.0,0.44,0.452,0.536,0.205
308.5,0.439,0.451,0.535,0.204
309.0,0.438,0.451,0.534,0.204
309.5,0.438,0.451,0.534,0.203
310.0,0.438,0.451,0.534,0.204
310.5,0.439,0.45,0.533,0.204
311.0,0.439,0.449,0.533,0.204
311.5,0.439,0.449,0.534,0.203
312.0,0.438,0.448,0.534,0.202
312.5,0.437,0.448,0.534,0.201
313.0,0.436,0.448,0.534,0.2
313.5,0.436,0.447,0.535,0.201
314.0,0.435,0.447,0.535,0.201
314.5,0.435,0.446,0.535,0.201
315.0,0.435,0.446,0.535,0.201
315.5,0.435,0.445,0.534,0.201
316.0,0.435,0.445,0.534,0.2
316.5,0.434,0.446,0.533,0.2
317.0,0.434,0.446,0.534,0.2
317.5,0.433,0.446,0.534,0.2
318.0,0.432,0.445,0.534,0.201
318.5,0.432,0.445,0.533,0.201
319.0,0.431,0.444,0.532,0.2
319.5,0.431,0.443,0.529,0.199
320.0,0.432,0.442,0.528,0.199
320.5,0.432,0.44,0.527,0.198
321.0,0.431,0.439,0.526,0.198
321.5,0.43,0.438,0.526,0.198
322.0,0.429,0.438,0.526,0.199
322.5,0.428,0.437,0.524,0.199
323.0,0.426,0.436,0.522,0.198
323.5,0.424,0.434,0.52,0.197
324.0,0.422,0.432,0.517,0.195
324.5,0.42,0.43,0.515,0.193
325.0,0.418,0.428,0.513,0.192
325.5,0.415,0.426,0.511,0.191
326.0,0.413,0.425,0.509,0.191
326.5,0.411,0.423,0.507,0.191
327.0,0.41,0.421,0.504,0.19
327.5,0.409,0.42,0.501,0.189
328.0,0.407,0.418,0.498,0.188
328.5,0.404,0.416,0.494,0.187
329.0,0.401,0.413,0.49,0.187
329.5,0.399,0.41,0.485,0.187
330.0,0.396,0.406,0.481,0.185
330.5,0.393,0.402,0.477,0.183
331.0,0.389,0.399,0.473,0.181
331.5,0.383,0.396,0.469,0.18
332.0,0.379,0.393,0.465,0.18
332.5,0.375,0.389,0.461,0.179
333.0,0.372,0.386,0.456,0.178
333.5,0.369,0.383,0.451,0.175
334.0,0.366,0.379,0.445,0.172
334.5,0.362,0.374,0.441,0.169
335.0,0.359,0.369,0.435,0.166
335.5,0.355,0.364,0.43,0.165
336.0,0.351,0.36,0.423,0.165
