nm,TGoMG20,TGoMG05,TGoMG,TGoMG50
550.0,89.786,95.215,88.219,85.739
551.0,89.738,95.416,88.424,85.995
552.0,89.881,95.457,88.425,87.226
553.0,90.199,95.681,88.102,87.336
554.0,89.866,95.603,87.93,86.319
555.0,89.479,94.815,88.152,86.898
556.0,90.029,94.483,88.647,87.376
557.0,90.66,95.328,89.235,87.528
558.0,90.375,96.178,89.68,87.251
559.0,89.945,96.216,89.325,87.906
560.0,90.17,95.992,88.208,87.336
561.0,90.539,95.872,88.123,87.861
562.0,90.772,95.401,89.059,87.074
563.0,91.454,94.654,89.291,87.892
564.0,92.317,94.595,89.232,87.915
565.0,92.333,95.21,89.284,87.656
566.0,91.786,95.626,89.016,87.805
567.0,91.356,95.889,88.633,87.646
568.0,90.905,96.227,88.354,89.7
569.0,90.758,96.172,88.625,88.721
570.0,91.393,95.677,88.962,87.479
571.0,91.804,95.286,88.887,88.378
572.0,91.036,95.452,89.337,88.025
573.0,90.549,95.682,89.902,88.728
574.0,91.244,95.486,89.544,87.33
575.0,91.581,95.927,88.956,88.398
576.0,90.998,96.439,88.98,89.371
577.0,90.505,95.727,89.138,88.098
578.0,90.809,95.455,88.953,87.756
579.0,91.315,96.32,89.392,88.236
580.0,91.206,96.941,90.59,88.835
581.0,91.19,96.838,91.123,89.057
582.0,91.485,96.505,90.804,89.397
583.0,91.407,96.589,90.422,89.523
584.0,91.215,96.81,90.405,89.097
585.0,91.244,96.751,90.688,89.351
586.0,91.504,96.771,90.842,89.641
587.0,91.818,96.901,90.725,88.95
588.0,91.846,96.949,90.477,89.784
589.0,91.831,96.919,90.436,89.716
590.0,91.902,96.856,90.723,90.14
591.0,91.842,96.855,90.895,89.902
592.0,91.901,96.809,90.806,90.074
593.0,92.198,96.668,90.696,89.772
594.0,92.327,96.689,90.751,89.887
595.0,92.252,96.811,90.913,90.604
596.0,92.305,96.803,90.897,89.954
597.0,92.124,96.951,90.958,90.617
598.0,91.614,97.202,91.164,90.041
599.0,91.566,97.115,91.021,90.353
600.0,91.926,97.033,90.877,90.11
601.0,92.287,97.121,90.996,90.325
602.0,92.662,97.081,90.975,90.811
603.0,92.795,96.954,90.973,90.817
604.0,92.604,96.88,91.077,90.536
605.0,92.239,97.045,90.874,91.141
606.0,91.993,97.25,90.492,90.346
607.0,92.205,97.088,90.329,90.216
608.0,92.451,96.959,90.376,91.079
609.0,92.352,97.165,90.77,90.767
610.0,92.248,97.162,91.306,90.187
611.0,92.308,97.016,91.293,90.921
612.0,92.371,97.307,91.127,90.77
613.0,92.299,97.725,91.393,91.224
614.0,92.378,97.681,91.562,91.378
615.0,92.606,97.467,91.424,91.003
616.0,92.541,97.493,91.366,91.014
617.0,92.53,97.285,91.464,90.876
618.0,92.804,96.841,91.505,91.181
619.0,92.956,96.919,91.46,90.861
620.0,93.005,97.19,91.767,91.725
621.0,93.005,97.042,92.13,91.231
622.0,92.785,96.948,91.659,91.056
623.0,92.588,97.108,91.127,91.215
624.0,92.603,97.18,91.607,91.149
625.0,92.67,97.236,92.21,91.876
626.0,92.92,97.267,92.101,90.881
627.0,93.22,97.238,91.8,91.563
628.0,93.161,97.377,91.775,91.385
629.0,93.087,97.486,92.012,91.657
630.0,93.196,97.401,92.245,91.766
631.0,93.215,97.346,92.254,91.19
632.0,93.291,97.276,92.194,91.92
633.0,93.286,97.189,92.334,91.783
634.0,93.105,97.228,92.69,92.337
635.0,93.184,97.266,92.829,91.668
636.0,93.444,97.27,92.585,92.008
637.0,93.504,97.415,92.379,91.954
638.0,93.399,97.552,92.404,92.008
639.0,93.394,97.413,92.572,92.02
640.0,93.43,97.209,92.725,91.777
641.0,93.352,97.189,92.824,91.765
642.0,93.264,97.428,92.944,91.599
643.0,93.296,97.674,92.81,91.937
644.0,93.486,97.451,92.467,91.345
645.0,93.466,97.237,92.469,91.862
646.0,93.11,97.478,92.712,92.017
647.0,92.981,97.572,92.765,92.071
648.0,93.208,97.4,92.648,92.003
649.0,93.45,97.463,92.495,92.265
650.0,93.7,97.65,92.579,92.039
651.0,93.986,97.602,92.929,91.808
652.0,94.099,97.421,93.119,92.087
653.0,93.995,97.402,93.152,92.427
654.0,93.762,97.602,93.272,91.459
655.0,93.566,97.739,93.336,92.073
656.0,93.655,97.705,93.237,92.213
657.0,93.782,97.465,93.217,92.758
658.0,93.722,97.048,93.255,92.176
659.0,93.874,97.119,93.073,92.423
660.0,94.096,97.703,93.053,92.767
661.0,94.022,97.832,93.266,91.965
662.0,93.92,97.499,92.937,91.717
663.0,93.914,97.514,92.35,92.333
664.0,93.963,97.817,92.404,92.253
665.0,93.955,97.837,92.694,92.115
666.0,93.824,97.647,92.695,92.618
667.0,93.928,97.558,92.845,92.075
668.0,94.213,97.602,93.094,92.596
669.0,94.196,97.712,93.068,92.414
670.0,93.971,97.766,93.18,93.001
671.0,93.861,97.893,93.379,92.607
672.0,93.916,98.225,93.095,92.265
673.0,94.097,98.182,92.835,92.446
674.0,94.158,97.592,93.008,92.236
675.0,93.91,97.409,93.086,92.617
676.0,93.683,97.769,93.079,92.343
677.0,93.867,97.919,93.317,92.522
678.0,94.194,97.95,93.529,92.347
679.0,94.197,97.909,93.277,92.586
680.0,93.963,97.678,92.962,92.582
681.0,93.8,97.678,93.389,92.784
682.0,93.772,97.8,93.987,92.45
683.0,93.829,97.814,93.578,93.1
684.0,93.994,97.88,92.778,92.445
685.0,94.294,97.923,92.864,92.81
686.0,94.615,97.716,93.309,92.498
687.0,94.677,97.503,93.277,93.037
688.0,94.474,97.727,93.065,92.878
689.0,94.307,97.941,92.956,92.929
690.0,94.203,97.888,92.916,93.176
691.0,94.059,97.982,92.968,92.2
692.0,93.908,98.051,93.276,92.47
693.0,94.02,98.07,93.575,92.571
694.0,94.603,98.287,93.519,92.553
695.0,94.914,98.396,93.553,92.506
696.0,94.434,98.198,93.647,92.23
697.0,94.094,98.001,93.297,92.644
698.0,94.394,98.141,92.98,92.359
699.0,94.714,98.378,93.177,93.35
700.0,94.774,98.211,93.466,92.563
701.0,94.581,97.918,93.538,92.245
702.0,94.28,97.843,93.545,92.67
703.0,94.324,97.716,93.561,92.949
704.0,94.564,97.619,93.53,92.831
705.0,94.569,97.778,93.427,92.74
706.0,94.571,97.927,93.38,92.99
707.0,94.567,97.85,93.642,92.869
708.0,94.379,97.837,93.966,93.168
709.0,94.386,98.054,93.832,93.646
710.0,94.44,98.012,93.418,93.329
711.0,94.185,97.71,93.156,92.844
712.0,94.058,97.602,93.167,92.996
713.0,94.254,97.632,93.472,92.917
714.0,94.631,97.845,93.802,92.475
715.0,94.931,98.146,93.824,93.528
716.0,94.806,98.278,93.695,92.976
717.0,94.611,98.392,93.62,92.463
718.0,94.603,98.189,93.751,92.585
719.0,94.569,97.727,94.134,92.093
720.0,94.502,97.816,94.193,92.589
721.0,94.369,97.99,93.863,92.841
722.0,94.284,97.69,93.722,93.26
723.0,94.428,97.644,93.693,93.231
724.0,94.742,98.006,93.697,92.677
725.0,94.888,98.187,93.873,92.552
726.0,94.42,98.132,93.952,93.165
727.0,94.022,98.176,93.797,93.196
728.0,94.438,98.371,93.55,92.772
729.0,94.812,98.456,93.42,93.442
730.0,94.608,98.243,93.595,92.769
731.0,94.386,98.02,93.867,93.042
732.0,94.388,98.105,94.0,92.617
733.0,94.456,98.191,94.129,93.326
734.0,94.568,98.13,94.079,93.121
735.0,94.609,98.164,93.692,93.235
736.0,94.419,98.119,93.502,92.879
737.0,94.284,98.045,93.744,93.212
738.0,94.639,98.189,94.055,92.975
739.0,95.041,98.139,94.184,93.927
740.0,94.888,98.051,94.17,93.163
741.0,94.835,98.418,94.086,93.765
742.0,95.232,98.632,94.064,92.83
743.0,95.265,98.257,94.232,92.924
744.0,94.932,97.815,94.23,93.1
745.0,94.88,97.568,93.984,93.099
746.0,94.881,97.415,93.868,93.754
747.0,,,,93.219
748.0,,,,93.331
749.0,,,,93.479
750.0,,,,93.036
