,     Angle,       PSD
321,17.8503,2665
322,17.8904,2683
323,17.9304,2670
324,17.9704,2712
325,18.0105,2661
326,18.0505,2787
327,18.0905,2588
328,18.1306,2843
329,18.1706,2777
330,18.2106,2679
331,18.2507,2689
332,18.2907,2755
333,18.3307,2695
334,18.3708,2740
335,18.4108,2749
336,18.4508,2752
337,18.4909,2791
338,18.5309,2732
339,18.5709,2794
340,18.6109,2750
341,18.651,2775
342,18.691,2846
343,18.731,2781
344,18.7711,2793
345,18.8111,2840
346,18.8511,2826
347,18.8912,2799
348,18.9312,2844
349,18.9712,2824
350,19.0113,2828
351,19.0513,2758
352,19.0913,2834
353,19.1314,2908
354,19.1714,2862
355,19.2114,2949
356,19.2515,2894
357,19.2915,2969
358,19.3315,2938
359,19.3716,2879
360,19.4116,2879
361,19.4516,2912
362,19.4917,2967
363,19.5317,2874
364,19.5717,2958
365,19.6118,2902
366,19.6518,2989
367,19.6918,2898
368,19.7318,2933
369,19.7719,2948
370,19.8119,3050
371,19.8519,2943
372,19.892,2968
373,19.932,2989
374,19.972,3027
375,20.0121,2931
376,20.0521,2956
377,20.0921,2924
378,20.1322,2864
379,20.1722,3001
380,20.2122,2957
381,20.2523,2988
382,20.2923,2927
383,20.3323,2949
384,20.3724,2977
385,20.4124,2901
386,20.4524,2962
387,20.4925,2911
388,20.5325,2995
389,20.5725,2827
390,20.6126,2913
391,20.6526,2970
392,20.6926,2881
393,20.7327,2848
394,20.7727,2944
395,20.8127,2862
396,20.8528,2928
397,20.8928,2907
398,20.9328,2912
399,20.9728,2982
400,21.0129,2940
401,21.0529,2876
402,21.0929,2977
403,21.133,2779
404,21.173,2890
405,21.213,2877
406,21.2531,2891
407,21.2931,2868
408,21.3331,2791
409,21.3732,2669
410,21.4132,2764
411,21.4532,2828
412,21.4933,2719
413,21.5333,2705
414,21.5733,2750
415,21.6134,2815
416,21.6534,2721
417,21.6934,2704
418,21.7335,2758
419,21.7735,2728
420,21.8135,2711
421,21.8536,2623
422,21.8936,2654
423,21.9336,2622
424,21.9737,2729
425,22.0137,2616
426,22.0537,2588
427,22.0937,2622
428,22.1338,2466
429,22.1738,2555
430,22.2138,2664
431,22.2539,2621
432,22.2939,2558
433,22.3339,2515
434,22.374,2559
435,22.414,2497
436,22.454,2577
437,22.4941,2434
438,22.5341,2489
439,22.5741,2452
440,22.6142,2373
441,22.6542,2453
442,22.6942,2349
443,22.7343,2481
444,22.7743,2291
445,22.8143,2339
446,22.8544,2324
447,22.8944,2331
448,22.9344,2206
449,22.9745,2236
450,23.0145,2285
451,23.0545,2258
452,23.0946,2265
453,23.1346,2226
454,23.1746,2184
455,23.2147,2143
456,23.2547,2221
457,23.2947,2193
458,23.3347,2108
459,23.3748,2064
460,23.4148,2167
461,23.4548,2101
462,23.4949,2010
463,23.5349,2051
464,23.5749,2059
465,23.615,1968
466,23.655,2079
467,23.695,2033
468,23.7351,1974
469,23.7751,2047
470,23.8151,2044
471,23.8552,1934
472,23.8952,1911
473,23.9352,1955
474,23.9753,1944
475,24.0153,1944
476,24.0553,1873
477,24.0954,1986
478,24.1354,1884
479,24.1754,1794
480,24.2155,1898
481,24.2555,1894
482,24.2955,1791
483,24.3356,1854
484,24.3756,1803
485,24.4156,1773
486,24.4556,1878
487,24.4957,1763
488,24.5357,1743
489,24.5757,1770
490,24.6158,1779
491,24.6558,1784
492,24.6958,1718
493,24.7359,1663
494,24.7759,1734
495,24.8159,1683
496,24.856,1653
497,24.896,1692
498,24.936,1637
499,24.9761,1764
500,25.0161,1643
501,25.0561,1627
502,25.0962,1706
503,25.1362,1651
504,25.1762,1635
505,25.2163,1617
506,25.2563,1567
507,25.2963,1621
508,25.3364,1631
509,25.3764,1672
510,25.4164,1584
511,25.4565,1618
512,25.4965,1530
513,25.5365,1635
514,25.5766,1555
515,25.6166,1564
516,25.6566,1515
517,25.6966,1525
518,25.7367,1584
519,25.7767,1496
520,25.8167,1537
521,25.8568,1527
522,25.8968,1540
523,25.9368,1503
524,25.9769,1510
525,26.0169,1543
526,26.0569,1543
527,26.097,1526
528,26.137,1484
529,26.177,1526
530,26.2171,1485
531,26.2571,1534
532,26.2971,1533
533,26.3372,1444
534,26.3772,1485
535,26.4172,1518
536,26.4573,1501
537,26.4973,1498
538,26.5373,1526
539,26.5774,1505
540,26.6174,1369
541,26.6574,1486
542,26.6975,1480
543,26.7375,1458
544,26.7775,1478
545,26.8175,1425
546,26.8576,1444
547,26.8976,1481
548,26.9376,1426
549,26.9777,1360
550,27.0177,1481
551,27.0577,1452
552,27.0978,1450
553,27.1378,1397
554,27.1778,1487
555,27.2179,1385
556,27.2579,1438
557,27.2979,1370
558,27.338,1454
559,27.378,1377
560,27.418,1367
561,27.4581,1338
562,27.4981,1407
563,27.5381,1329
564,27.5782,1343
565,27.6182,1398
566,27.6582,1356
567,27.6983,1374
568,27.7383,1311
569,27.7783,1278
570,27.8184,1298
571,27.8584,1322
572,27.8984,1358
573,27.9385,1294
574,27.9785,1337
575,28.0185,1296
576,28.0585,1355
577,28.0986,1329
578,28.1386,1344
579,28.1786,1293
580,28.2187,1391
581,28.2587,1347
582,28.2987,1265
583,28.3388,1287
584,28.3788,1312
585,28.4188,1326
586,28.4589,1308
587,28.4989,1289
588,28.5389,1307
589,28.579,1291
590,28.619,1247
591,28.659,1206
592,28.6991,1279
593,28.7391,1276
594,28.7791,1262
595,28.8192,1271
596,28.8592,1260
597,28.8992,1226
598,28.9393,1297
599,28.9793,1224
600,29.0193,1274
601,29.0594,1289
602,29.0994,1206
603,29.1394,1256
604,29.1794,1266
605,29.2195,1247
606,29.2595,1251
607,29.2995,1206
608,29.3396,1168
609,29.3796,1239
610,29.4196,1293
611,29.4597,1190
612,29.4997,1212
613,29.5397,1200
614,29.5798,1170
615,29.6198,1247
616,29.6598,1262
617,29.6999,1230
618,29.7399,1209
619,29.7799,1241
620,29.82,1272
621,29.86,1185
622,29.9,1151
623,29.9401,1293
624,29.9801,1211
625,30.0201,1217
626,30.0602,1145
627,30.1002,1228
628,30.1402,1180
629,30.1803,1201
630,30.2203,1180
631,30.2603,1194
632,30.3004,1171
633,30.3404,1122
634,30.3804,1204
635,30.4204,1184
636,30.4605,1134
637,30.5005,1191
638,30.5405,1145
639,30.5806,1153
640,30.6206,1199
641,30.6606,1208
642,30.7007,1126
643,30.7407,1188
644,30.7807,1149
645,30.8208,1078
646,30.8608,1122
647,30.9008,1108
648,30.9409,1065
649,30.9809,1092
650,31.0209,1092
651,31.061,1101
652,31.101,1128
653,31.141,1140
654,31.1811,1079
655,31.2211,1085
656,31.2611,1130
657,31.3012,1127
658,31.3412,1080
659,31.3812,1130
660,31.4213,1067
661,31.4613,1056
662,31.5013,1070
663,31.5413,1071
664,31.5814,1101
665,31.6214,1063
666,31.6614,1161
667,31.7015,1044
668,31.7415,1058
669,31.7815,1071
670,31.8216,1023
671,31.8616,1075
672,31.9016,1113
673,31.9417,1058
674,31.9817,1107
675,32.0217,1048
676,32.0618,1055
677,32.1018,1104
678,32.1418,1050
679,32.1819,1053
680,32.2219,1052
681,32.2619,1094
682,32.302,1093
683,32.342,1097
684,32.382,1106
685,32.4221,1123
686,32.4621,1028
687,32.5021,1087
688,32.5422,1121
689,32.5822,1092
690,32.6222,1074
691,32.6623,1091
692,32.7023,1056
693,32.7423,1047
694,32.7823,1112
695,32.8224,1091
696,32.8624,1109
697,32.9024,1027
698,32.9425,1053
699,32.9825,1026
700,33.0225,1097
701,33.0626,1078
702,33.1026,1085
703,33.1426,1054
704,33.1827,1033
705,33.2227,1096
706,33.2627,1007
707,33.3028,1085
708,33.3428,1048
709,33.3828,997
710,33.4229,1062
711,33.4629,1075
712,33.5029,1040
713,33.543,1058
714,33.583,1049
715,33.623,1089
716,33.6631,1053
717,33.7031,1046
718,33.7431,1011
719,33.7832,1036
720,33.8232,1045
721,33.8632,1068
722,33.9032,1045
723,33.9433,1038
724,33.9833,1139
725,34.0233,987
726,34.0634,1127
727,34.1034,1070
728,34.1434,1047
729,34.1835,1030
730,34.2235,1068
731,34.2635,1064
732,34.3036,1115
733,34.3436,1070
734,34.3836,1116
735,34.4237,1084
736,34.4637,1076
737,34.5037,1078
738,34.5438,1099
739,34.5838,1086
740,34.6238,1113
741,34.6639,1107
742,34.7039,1106
743,34.7439,1122
744,34.784,1155
745,34.824,1094
746,34.864,1104
747,34.9041,1038
748,34.9441,1083
749,34.9841,1148
750,35.0241,1102
751,35.0642,1147
752,35.1042,1107
753,35.1442,1138
754,35.1843,1006
755,35.2243,1104
756,35.2643,1109
757,35.3044,1048
758,35.3444,1078
759,35.3844,1094
760,35.4245,1034
761,35.4645,1121
762,35.5045,1096
763,35.5446,1045
764,35.5846,1024
765,35.6246,1073
766,35.6647,1032
767,35.7047,1056
768,35.7447,1035
769,35.7848,1088
770,35.8248,1107
771,35.8648,1035
772,35.9049,1051
773,35.9449,1079
774,35.9849,1061
775,36.025,1027
776,36.065,1124
777,36.105,1071
778,36.1451,1090
779,36.1851,1036
780,36.2251,1002
781,36.2651,1048
782,36.3052,1072
783,36.3452,998
784,36.3852,1005
785,36.4253,1049
786,36.4653,968
787,36.5053,987
788,36.5454,998
789,36.5854,1010
790,36.6254,994
791,36.6655,1032
792,36.7055,1097
793,36.7455,1040
794,36.7856,1093
795,36.8256,1010
796,36.8656,1041
797,36.9057,1040
798,36.9457,1028
799,36.9857,1036
800,37.0258,1025
801,37.0658,1037
802,37.1058,1021
803,37.1459,1055
804,37.1859,999
805,37.2259,1007
806,37.266,1077
807,37.306,1014
808,37.346,1008
809,37.386,1070
810,37.4261,1056
811,37.4661,1009
812,37.5061,1023
813,37.5462,1042
814,37.5862,1020
815,37.6262,1038
816,37.6663,1043
817,37.7063,1047
818,37.7463,981
819,37.7864,976
820,37.8264,1047
821,37.8664,1062
822,37.9065,1019
823,37.9465,1010
824,37.9865,985
825,38.0266,1068
826,38.0666,1051
827,38.1066,1019
828,38.1467,1050
829,38.1867,1015
830,38.2267,938
831,38.2668,1024
832,38.3068,1007
833,38.3468,1018
834,38.3869,1000
835,38.4269,984
836,38.4669,986
837,38.507,989
838,38.547,1030
839,38.587,1023
840,38.627,1037
841,38.6671,962
842,38.7071,1016
843,38.7471,990
844,38.7872,1015
845,38.8272,1033
846,38.8672,1001
847,38.9073,986
848,38.9473,985
849,38.9873,994
850,39.0274,995
851,39.0674,1011
852,39.1074,1014
853,39.1475,1025
854,39.1875,957
855,39.2275,986
856,39.2676,970
857,39.3076,974
858,39.3476,997
859,39.3877,1000
860,39.4277,1006
861,39.4677,951
862,39.5078,973
863,39.5478,996
864,39.5878,927
865,39.6279,1037
866,39.6679,1002
867,39.7079,977
868,39.7479,916
869,39.788,1021
870,39.828,910
871,39.868,970
872,39.9081,1014
873,39.9481,964
874,39.9881,953
875,40.0282,1007
876,40.0682,958
877,40.1082,907
878,40.1483,999
879,40.1883,1013
880,40.2283,924
881,40.2684,955
882,40.3084,973
883,40.3484,982
884,40.3885,914
885,40.4285,1009
886,40.4685,963
887,40.5086,951
888,40.5486,952
889,40.5886,981
890,40.6287,965
891,40.6687,953
892,40.7087,1002
893,40.7488,936
894,40.7888,944
895,40.8288,906
896,40.8689,943
897,40.9089,933
898,40.9489,988
899,40.9889,885
900,41.029,946
901,41.069,948
902,41.109,959
903,41.1491,1039
904,41.1891,916
905,41.2291,955
906,41.2692,905
907,41.3092,975
908,41.3492,901
909,41.3893,949
910,41.4293,976
911,41.4693,942
912,41.5094,958
913,41.5494,907
914,41.5894,915
915,41.6295,956
916,41.6695,942
917,41.7095,873
918,41.7496,909
919,41.7896,962
920,41.8296,918
921,41.8697,901
922,41.9097,920
923,41.9497,915
924,41.9898,945
925,42.0298,896
926,42.0698,880
927,42.1098,891
928,42.1499,938
929,42.1899,948
930,42.2299,907
931,42.27,919
932,42.31,875
933,42.35,911
934,42.3901,916
935,42.4301,890
936,42.4701,838
937,42.5102,916
938,42.5502,905
939,42.5902,892
940,42.6303,944
941,42.6703,885
942,42.7103,854
943,42.7504,855
944,42.7904,940
945,42.8304,920
946,42.8705,880
947,42.9105,945
948,42.9505,861
949,42.9906,882
950,43.0306,878
951,43.0706,896
952,43.1107,852
953,43.1507,898
954,43.1907,877
955,43.2308,865
956,43.2708,903
957,43.3108,885
958,43.3508,814
959,43.3909,933
960,43.4309,854
961,43.4709,875
962,43.511,887
963,43.551,855
964,43.591,878
965,43.6311,852
966,43.6711,847
967,43.7111,822
968,43.7512,844
969,43.7912,861
970,43.8312,806
