Wavelength,Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde
189,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
190,0.3982966359106359,0.35072307029750105,0.014246639640544956,0.3088375833578165,0.2706350118605103,0.2510279074134141,0.30746881567692586,0.23906313349834307
191,0.36852221569630594,0.35161716807800536,0.026243161086310307,0.30115751420985504,0.266696620977404,0.24758257234155634,0.2245787766195666,0.2474468300461765
192,0.3741975595715228,0.34439192430489496,0.012822580350624335,0.3051348603627728,0.3007558317691621,0.25963270187612975,0.27839401527443064,0.2568421009592259
193,0.37667742642008384,0.3478162270573466,0.003476417132747489,0.30209168101040706,0.2730389637016064,0.24461935516054578,0.2611157951619474,0.2523578738028476
194,0.3944751244840048,0.339821156196078,0.018504865568038653,0.29299567998459475,0.2638931676018226,0.2572526161103941,0.2738748177819137,0.26226812314404735
195,0.38858896905738627,0.3450724720316267,0.003920300536962573,0.29884085606866573,0.2798541713477596,0.25033077721460195,0.26390919839489535,0.23889286642544882
196,0.3960138145686254,0.36152468242469005,0.004797872297056971,0.3173756194791728,0.271850489378759,0.2630331461830908,0.2661421919855629,0.2483806593423239
197,0.41809924987384406,0.36726276517955725,0.014912996369958131,0.30503205122196086,0.28516489487152175,0.26160909845321445,0.27175603871732523,0.25457310532427346
198,0.4063286164237876,0.36058823593156686,0.018063791572836996,0.30893380645707524,0.2756658996741874,0.2663842717050118,0.2716742744708953,0.2495419329983979
199,0.4220236967743862,0.38458765424980745,0.03509350402921796,0.3274170346813723,0.28880905074451957,0.2779076733639727,0.27668464104615587,0.26121581976835606
200,0.42406584436662076,0.37109316245804225,0.02649637867179666,0.32706230170619865,0.28999946582731817,0.2750568673153262,0.27363142074590363,0.2568024473969228
201,0.4303592870413768,0.391712678758807,0.03285637581116574,0.3365291476025716,0.29323384072036784,0.27573578996954184,0.28073709209785846,0.27384412893265964
202,0.44249322950176184,0.3873921530533284,0.033648051303067694,0.3297511804634212,0.2997186765914046,0.2702503001811887,0.279995854709556,0.27442646650708724
203,0.45790121482061785,0.40537035729838666,0.043420513520813886,0.3501356315727209,0.3101271986088803,0.2790493881405076,0.2879439509501611,0.2712143896062993
204,0.47480038070497854,0.4143196947161385,0.05479361356856338,0.3552434251732308,0.3094495641718198,0.2882774801361534,0.2867905719310566,0.27645582087250187
205,0.4681272101405638,0.42918703042732065,0.05974750488593861,0.36195225951274423,0.3160293811160586,0.2942221055173264,0.2919542535497677,0.2848576881093272
206,0.4900900422899823,0.43447617844239605,0.07327616123339409,0.3650330067068559,0.3238664724766158,0.29801774723347263,0.2951274015395533,0.28964531014758643
207,0.5015770416322192,0.4496538736883535,0.08177264841392273,0.36996408271289183,0.3264586306354007,0.2992870357684503,0.29919675353283837,0.29748708329226026
208,0.5109998774878928,0.45860956593219515,0.09245217137294515,0.3828324842215238,0.3312121955713647,0.30757708073059,0.305409929166629,0.2940384359504278
209,0.5290145174143901,0.46904472144686693,0.10206394933695351,0.3897115032147127,0.3369723538016005,0.3038319161205352,0.3075422675077959,0.30422327031278407
210,0.5447869851011209,0.48714058836477836,0.11859811041246182,0.404376163619409,0.3472881724003589,0.31402269788332515,0.3158975580689567,0.30596132740599713
211,0.5462421621522913,0.490666305184692,0.11825572877326174,0.4081571434542144,0.3465334592697922,0.311476212067024,0.31452399568894207,0.3133598242496032
212,0.5530496681566208,0.5006410210318151,0.13139357549570696,0.4113540612173121,0.3511877401796457,0.3114788593916873,0.31980941515872363,0.3140065498469482
213,0.560182855660714,0.5086613135953701,0.13850940849864202,0.41284401209742905,0.3542450110113211,0.3139420318887829,0.32243441114551685,0.3180903493018816
214,0.568635591638009,0.5120854655464604,0.1476697589222835,0.41264722714391966,0.3557837284099785,0.30996289100543684,0.32105910015321726,0.31430782868843576
215,0.5745579937264604,0.5226735835246001,0.15450448614240675,0.4166551839746062,0.35369958501618126,0.31512258716986596,0.3196339338193557,0.32084204949847717
216,0.576628734997634,0.5285654442228813,0.16652863614548252,0.42091827833824014,0.3554575278013783,0.3181973311089832,0.3230389589427969,0.32167830939046205
217,0.5782813177505253,0.5328571432998266,0.16646966574526068,0.4277798992283146,0.35625012252557275,0.3153659398287365,0.32283938183973837,0.32374806489822205
218,0.5849204449383021,0.5382070052589669,0.17030375390245767,0.4314754286453599,0.3609787535636493,0.32492298822426835,0.3278850114252976,0.32607782607332236
219,0.577276488762632,0.5361251098302255,0.17735427475455334,0.42584787613384223,0.35470994205479434,0.31749071902218673,0.32447704028136837,0.32536932455028666
220,0.5765455568175633,0.536614958943249,0.17842993249230532,0.42547010830248766,0.3590301220472465,0.3223776429632015,0.32454002956234596,0.3268507051717544
221,0.5762655176920779,0.5382286873601292,0.18067570829600466,0.4233896531272434,0.3544302192867135,0.32120902103811844,0.325671649246837,0.32573316359821924
222,0.565696998784214,0.5283692395322197,0.1779213917637712,0.41487642185328655,0.34930841047984784,0.3160271516841875,0.31876925521536736,0.32006717916202176
223,0.5589092529460662,0.5282940535631324,0.1780695526935696,0.4151736695503687,0.34785372200920395,0.31304050102704095,0.31792351858810264,0.31881378244392544
224,0.5538975340781618,0.5244538636400842,0.17972481979722033,0.41366055883824004,0.3461469991531503,0.31836564641175435,0.3180266690413813,0.31904463775255865
225,0.5417497617037366,0.5163331559824391,0.17789518932299386,0.4093253177529348,0.340273176501932,0.31043581961399425,0.3148142100168405,0.31541135237184736
226,0.5360783413609913,0.5064566810403228,0.1758834258353681,0.40293148254644695,0.33602192246708396,0.30725680333484306,0.3099378291711614,0.3081301949863473
