nm,A,A05,A20,A50
244.5,0.895,0.251,0.835,1.018
245.0,0.89,0.25,0.83,1.012
245.5,0.885,0.249,0.825,1.007
246.0,0.88,0.248,0.821,1.002
246.5,0.876,0.246,0.817,0.997
247.0,0.871,0.245,0.813,0.992
247.5,0.866,0.244,0.809,0.987
248.0,0.862,0.243,0.806,0.983
248.5,0.858,0.242,0.803,0.98
249.0,0.855,0.241,0.8,0.976
249.5,0.851,0.24,0.797,0.973
250.0,0.848,0.24,0.794,0.969
250.5,0.844,0.239,0.792,0.965
251.0,0.841,0.238,0.789,0.962
251.5,0.838,0.238,0.786,0.959
252.0,0.835,0.237,0.783,0.957
252.5,0.832,0.237,0.781,0.955
253.0,0.83,0.236,0.779,0.954
253.5,0.828,0.236,0.777,0.953
254.0,0.826,0.236,0.777,0.952
254.5,0.825,0.236,0.776,0.952
255.0,0.825,0.236,0.776,0.952
255.5,0.826,0.236,0.776,0.954
256.0,0.827,0.237,0.778,0.955
256.5,0.828,0.238,0.779,0.957
257.0,0.829,0.238,0.781,0.96
257.5,0.832,0.239,0.784,0.963
258.0,0.834,0.24,0.786,0.968
258.5,0.838,0.241,0.789,0.973
259.0,0.842,0.242,0.793,0.978
259.5,0.847,0.244,0.797,0.983
260.0,0.852,0.245,0.801,0.99
260.5,0.858,0.247,0.807,0.997
261.0,0.864,0.25,0.813,1.005
261.5,0.871,0.252,0.819,1.013
262.0,0.878,0.254,0.826,1.023
262.5,0.886,0.257,0.834,1.033
263.0,0.895,0.259,0.841,1.043
263.5,0.904,0.262,0.848,1.054
264.0,0.913,0.264,0.855,1.064
264.5,0.921,0.267,0.862,1.074
265.0,0.929,0.269,0.869,1.083
265.5,0.936,0.271,0.876,1.093
266.0,0.943,0.273,0.883,1.102
266.5,0.951,0.275,0.89,1.11
267.0,0.958,0.277,0.897,1.118
267.5,0.966,0.28,0.904,1.128
268.0,0.975,0.282,0.911,1.138
268.5,0.983,0.284,0.918,1.148
269.0,0.992,0.286,0.926,1.159
269.5,1.0,0.288,0.934,1.17
270.0,1.009,0.29,0.941,1.181
270.5,1.018,0.293,0.948,1.191
271.0,1.026,0.296,0.954,1.201
271.5,1.033,0.298,0.959,1.21
272.0,1.038,0.3,0.964,1.218
272.5,1.043,0.302,0.969,1.225
273.0,1.047,0.303,0.973,1.23
273.5,1.051,0.303,0.976,1.235
274.0,1.054,0.303,0.978,1.239
274.5,1.057,0.303,0.98,1.242
275.0,1.06,0.303,0.982,1.244
275.5,1.061,0.304,0.984,1.247
276.0,1.063,0.305,0.985,1.249
276.5,1.065,0.306,0.986,1.252
277.0,1.066,0.306,0.987,1.255
277.5,1.067,0.307,0.987,1.257
278.0,1.067,0.306,0.987,1.259
278.5,1.067,0.306,0.987,1.259
279.0,1.068,0.305,0.986,1.258
279.5,1.068,0.305,0.985,1.257
280.0,1.066,0.305,0.984,1.257
280.5,1.064,0.305,0.983,1.257
281.0,1.062,0.304,0.98,1.256
281.5,1.059,0.304,0.978,1.254
282.0,1.056,0.302,0.975,1.251
282.5,1.054,0.3,0.971,1.246
283.0,1.05,0.299,0.967,1.241
283.5,1.045,0.297,0.962,1.236
284.0,1.04,0.296,0.957,1.231
284.5,1.034,0.294,0.952,1.226
285.0,1.028,0.292,0.947,1.22
285.5,1.021,0.29,0.941,1.213
286.0,1.015,0.287,0.935,1.207
286.5,1.008,0.285,0.928,1.2
287.0,1.001,0.283,0.921,1.192
287.5,0.994,0.281,0.914,1.185
288.0,0.986,0.279,0.908,1.177
288.5,0.979,0.276,0.902,1.169
289.0,0.971,0.273,0.895,1.161
289.5,0.964,0.271,0.888,1.153
290.0,0.957,0.269,0.881,1.147
290.5,0.95,0.268,0.874,1.14
291.0,0.943,0.266,0.867,1.133
291.5,0.936,0.264,0.861,1.126
292.0,0.929,0.262,0.855,1.119
292.5,0.923,0.26,0.85,1.113
293.0,0.917,0.259,0.845,1.107
293.5,0.912,0.257,0.84,1.101
294.0,0.908,0.255,0.835,1.096
294.5,0.903,0.253,0.831,1.091
295.0,0.897,0.251,0.826,1.086
295.5,0.892,0.25,0.822,1.082
296.0,0.888,0.25,0.818,1.078
296.5,0.884,0.249,0.815,1.075
297.0,0.88,0.249,0.812,1.072
297.5,0.877,0.248,0.809,1.068
298.0,0.874,0.247,0.806,1.065
298.5,0.871,0.245,0.803,1.063
299.0,0.868,0.244,0.8,1.06
299.5,0.865,0.243,0.798,1.058
300.0,0.862,0.241,0.796,1.055
300.5,0.861,0.241,0.795,1.053
301.0,0.86,0.241,0.794,1.051
301.5,0.859,0.242,0.793,1.05
302.0,0.857,0.242,0.791,1.05
302.5,0.856,0.242,0.79,1.049
303.0,0.854,0.241,0.789,1.048
303.5,0.854,0.241,0.789,1.047
304.0,0.853,0.24,0.789,1.046
304.5,0.854,0.24,0.789,1.044
305.0,0.854,0.24,0.789,1.044
305.5,0.855,0.24,0.788,1.044
306.0,0.855,0.241,0.788,1.045
306.5,0.854,0.241,0.788,1.045
307.0,0.854,0.242,0.787,1.045
307.5,0.854,0.242,0.787,1.046
308.0,0.854,0.243,0.788,1.047
308.5,0.856,0.243,0.789,1.048
309.0,0.857,0.243,0.791,1.049
309.5,0.859,0.242,0.792,1.05
310.0,0.86,0.243,0.794,1.052
310.5,0.861,0.243,0.796,1.055
311.0,0.863,0.243,0.797,1.058
311.5,0.865,0.243,0.799,1.06
312.0,0.867,0.243,0.801,1.061
312.5,0.869,0.243,0.804,1.062
313.0,0.873,0.244,0.806,1.063
313.5,0.876,0.246,0.808,1.065
314.0,0.878,0.247,0.809,1.068
314.5,0.881,0.248,0.809,1.072
315.0,0.883,0.249,0.81,1.076
315.5,0.885,0.25,0.812,1.079
316.0,0.887,0.252,0.814,1.081
316.5,0.888,0.253,0.816,1.082
317.0,0.889,0.254,0.819,1.083
317.5,0.891,0.255,0.821,1.084
318.0,0.892,0.255,0.822,1.085
318.5,0.893,0.256,0.822,1.086
319.0,0.894,0.256,0.821,1.088
319.5,0.894,0.257,0.821,1.089
320.0,0.895,0.256,0.823,1.089
320.5,0.894,0.256,0.824,1.088
321.0,0.894,0.256,0.825,1.086
321.5,0.894,0.257,0.825,1.086
322.0,0.894,0.257,0.824,1.086
322.5,0.894,0.257,0.823,1.087
323.0,0.892,0.255,0.822,1.087
323.5,0.89,0.253,0.822,1.085
324.0,0.887,0.252,0.821,1.083
324.5,0.884,0.252,0.82,1.08
325.0,0.881,0.253,0.817,1.077
325.5,0.878,0.253,0.814,1.073
326.0,0.874,0.252,0.81,1.068
326.5,0.871,0.25,0.807,1.063
327.0,0.867,0.249,0.803,1.058
327.5,0.864,0.249,0.799,1.053
328.0,0.86,0.249,0.794,1.047
328.5,0.856,0.248,0.789,1.04
329.0,0.852,0.247,0.785,1.032
329.5,0.846,0.245,0.781,1.026
330.0,0.838,0.244,0.775,1.019
330.5,0.83,0.242,0.769,1.012
331.0,0.821,0.239,0.762,1.004
331.5,0.813,0.236,0.755,0.996
332.0,0.805,0.234,0.75,0.987
332.5,0.798,0.231,0.745,0.979
333.0,0.791,0.229,0.739,0.968
333.5,0.783,0.227,0.732,0.957
334.0,0.774,0.225,0.723,0.946
334.5,0.764,0.222,0.713,0.936
335.0,0.753,0.22,0.703,0.926
335.5,0.742,0.217,0.696,0.917
336.0,0.732,0.215,0.689,0.906
336.5,0.723,0.212,0.681,0.895
337.0,0.713,0.21,0.671,0.883
337.5,0.704,0.207,0.66,0.87
338.0,0.694,0.204,0.651,0.856
338.5,0.684,0.202,0.645,0.842
339.0,0.673,0.2,0.643,0.827
339.5,0.662,0.2,0.641,0.812
340.0,0.65,0.199,0.634,0.799
340.5,0.638,0.194,0.618,0.787
341.0,0.626,0.185,0.598,0.774
341.5,0.612,0.176,0.58,0.759
342.0,0.597,0.169,0.567,0.742
342.5,0.583,0.166,0.56,0.725
343.0,0.57,0.166,0.555,0.707
343.5,0.556,0.165,0.549,0.688
344.0,0.541,0.163,0.539,0.67
344.5,0.527,0.159,0.525,0.657
345.0,0.516,0.154,0.51,0.648
345.5,0.509,0.148,0.498,0.643
346.0,0.502,0.14,0.491,0.637
346.5,0.493,0.133,0.487,0.628
347.0,0.482,0.127,0.48,0.615
347.5,0.473,0.122,0.472,0.599
348.0,0.464,0.12,0.463,0.584
348.5,0.455,0.121,0.453,0.572
349.0,0.443,0.123,0.443,0.563
349.5,0.429,0.124,0.432,0.554
350.0,0.418,0.122,0.419,0.54
350.5,0.408,0.118,0.406,0.522
351.0,0.399,0.116,0.396,0.503
351.5,0.389,0.115,0.388,0.486
352.0,0.38,0.114,0.383,0.474
352.5,0.371,0.113,0.378,0.467
353.0,0.36,0.115,0.369,0.459
353.5,0.346,0.119,0.356,0.451
354.0,0.332,0.121,0.343,0.441
354.5,0.321,0.119,0.333,0.432
355.0,0.315,0.113,0.326,0.423
355.5,0.31,0.108,0.32,0.415
356.0,0.305,0.103,0.313,0.408
356.5,0.3,0.099,0.306,0.401
357.0,0.297,0.094,0.301,0.395
357.5,0.293,0.09,0.3,0.389
358.0,0.285,0.087,0.298,0.381
358.5,0.272,0.087,0.294,0.369
359.0,0.258,0.089,0.285,0.355
