nm,A,A05,A20,A50
244.5,0.6,0.243,0.462,0.587
245.0,0.599,0.241,0.46,0.584
245.5,0.598,0.24,0.458,0.581
246.0,0.598,0.239,0.457,0.579
246.5,0.597,0.238,0.455,0.577
247.0,0.597,0.237,0.452,0.575
247.5,0.597,0.237,0.45,0.572
248.0,0.597,0.236,0.449,0.57
248.5,0.598,0.235,0.448,0.568
249.0,0.599,0.234,0.447,0.566
249.5,0.6,0.233,0.446,0.564
250.0,0.601,0.232,0.445,0.562
250.5,0.603,0.231,0.443,0.56
251.0,0.604,0.231,0.441,0.558
251.5,0.605,0.231,0.44,0.557
252.0,0.607,0.23,0.439,0.556
252.5,0.609,0.23,0.438,0.554
253.0,0.611,0.229,0.438,0.553
253.5,0.614,0.229,0.437,0.552
254.0,0.616,0.229,0.436,0.552
254.5,0.619,0.23,0.435,0.551
255.0,0.622,0.23,0.435,0.551
255.5,0.626,0.23,0.436,0.552
256.0,0.629,0.23,0.438,0.553
256.5,0.633,0.23,0.439,0.555
257.0,0.636,0.231,0.439,0.556
257.5,0.64,0.231,0.439,0.558
258.0,0.644,0.232,0.442,0.559
258.5,0.648,0.233,0.445,0.562
259.0,0.652,0.234,0.446,0.565
259.5,0.656,0.235,0.447,0.568
260.0,0.66,0.236,0.451,0.571
260.5,0.665,0.238,0.454,0.575
261.0,0.669,0.239,0.457,0.579
261.5,0.673,0.241,0.462,0.584
262.0,0.678,0.244,0.466,0.589
262.5,0.682,0.246,0.47,0.594
263.0,0.687,0.249,0.474,0.6
263.5,0.691,0.251,0.478,0.605
264.0,0.694,0.253,0.483,0.609
264.5,0.697,0.255,0.487,0.614
265.0,0.698,0.256,0.49,0.618
265.5,0.7,0.258,0.494,0.623
266.0,0.701,0.26,0.497,0.627
266.5,0.703,0.262,0.501,0.631
267.0,0.704,0.264,0.504,0.635
267.5,0.706,0.266,0.507,0.64
268.0,0.707,0.267,0.511,0.645
268.5,0.707,0.269,0.515,0.651
269.0,0.709,0.271,0.518,0.657
269.5,0.71,0.273,0.521,0.663
270.0,0.712,0.275,0.525,0.668
270.5,0.713,0.278,0.531,0.672
271.0,0.713,0.28,0.535,0.676
271.5,0.712,0.281,0.538,0.68
272.0,0.71,0.282,0.541,0.683
272.5,0.706,0.283,0.542,0.685
273.0,0.702,0.283,0.543,0.687
273.5,0.698,0.283,0.544,0.688
274.0,0.694,0.283,0.545,0.689
274.5,0.689,0.284,0.545,0.69
275.0,0.685,0.285,0.546,0.691
275.5,0.68,0.285,0.546,0.691
276.0,0.675,0.285,0.548,0.692
276.5,0.67,0.285,0.55,0.693
277.0,0.665,0.286,0.549,0.694
277.5,0.66,0.287,0.549,0.694
278.0,0.656,0.287,0.549,0.693
278.5,0.651,0.287,0.55,0.693
279.0,0.647,0.287,0.55,0.693
279.5,0.642,0.286,0.55,0.693
280.0,0.637,0.286,0.549,0.693
280.5,0.633,0.286,0.549,0.692
281.0,0.628,0.285,0.548,0.691
281.5,0.624,0.284,0.546,0.689
282.0,0.619,0.284,0.546,0.688
282.5,0.613,0.284,0.545,0.687
283.0,0.608,0.283,0.543,0.685
283.5,0.602,0.283,0.54,0.683
284.0,0.596,0.282,0.538,0.68
284.5,0.589,0.28,0.536,0.677
285.0,0.584,0.279,0.534,0.674
285.5,0.578,0.277,0.531,0.671
286.0,0.574,0.275,0.528,0.667
286.5,0.569,0.274,0.525,0.664
287.0,0.563,0.273,0.524,0.66
287.5,0.558,0.272,0.52,0.657
288.0,0.552,0.271,0.516,0.653
288.5,0.547,0.269,0.514,0.649
289.0,0.542,0.268,0.512,0.645
289.5,0.537,0.266,0.508,0.641
290.0,0.533,0.265,0.504,0.636
290.5,0.528,0.263,0.501,0.633
291.0,0.525,0.261,0.5,0.629
291.5,0.521,0.259,0.498,0.625
292.0,0.518,0.257,0.494,0.621
292.5,0.514,0.254,0.491,0.617
293.0,0.511,0.253,0.489,0.614
293.5,0.507,0.252,0.485,0.612
294.0,0.504,0.251,0.482,0.61
294.5,0.502,0.25,0.482,0.608
295.0,0.5,0.249,0.48,0.605
295.5,0.499,0.249,0.479,0.603
296.0,0.497,0.248,0.476,0.6
296.5,0.495,0.246,0.472,0.597
297.0,0.494,0.245,0.468,0.595
297.5,0.493,0.244,0.468,0.593
298.0,0.492,0.244,0.468,0.591
298.5,0.492,0.243,0.466,0.589
299.0,0.491,0.242,0.465,0.587
299.5,0.491,0.241,0.467,0.585
300.0,0.49,0.241,0.466,0.584
300.5,0.489,0.24,0.461,0.582
301.0,0.488,0.24,0.459,0.581
301.5,0.488,0.239,0.459,0.58
302.0,0.488,0.239,0.457,0.579
