nm,A,A05,A20,A50
279.5,0.863,0.342,0.741,0.733
280.0,0.858,0.34,0.737,0.729
280.5,0.852,0.337,0.732,0.723
281.0,0.846,0.335,0.726,0.717
281.5,0.839,0.332,0.721,0.71
282.0,0.832,0.329,0.714,0.703
282.5,0.824,0.325,0.707,0.696
283.0,0.816,0.322,0.701,0.689
283.5,0.807,0.319,0.694,0.682
284.0,0.798,0.316,0.687,0.674
284.5,0.789,0.312,0.679,0.666
285.0,0.779,0.308,0.671,0.657
285.5,0.77,0.304,0.662,0.649
286.0,0.76,0.3,0.653,0.641
286.5,0.751,0.296,0.644,0.632
287.0,0.741,0.291,0.635,0.623
287.5,0.73,0.287,0.627,0.613
288.0,0.719,0.282,0.618,0.604
288.5,0.709,0.277,0.609,0.595
289.0,0.699,0.273,0.6,0.586
289.5,0.689,0.27,0.591,0.577
290.0,0.68,0.266,0.583,0.569
290.5,0.671,0.262,0.575,0.561
291.0,0.662,0.258,0.567,0.553
291.5,0.653,0.255,0.56,0.546
292.0,0.645,0.251,0.552,0.538
292.5,0.637,0.249,0.545,0.531
293.0,0.63,0.246,0.538,0.524
293.5,0.623,0.242,0.532,0.518
294.0,0.616,0.239,0.526,0.512
294.5,0.61,0.235,0.521,0.507
295.0,0.605,0.233,0.517,0.502
295.5,0.599,0.23,0.512,0.497
296.0,0.593,0.229,0.507,0.492
296.5,0.589,0.227,0.502,0.487
297.0,0.584,0.226,0.497,0.483
297.5,0.58,0.224,0.493,0.479
298.0,0.576,0.222,0.49,0.476
298.5,0.573,0.22,0.486,0.473
299.0,0.57,0.218,0.483,0.47
299.5,0.567,0.217,0.481,0.468
300.0,0.564,0.216,0.479,0.466
300.5,0.561,0.215,0.477,0.463
301.0,0.558,0.215,0.474,0.46
301.5,0.555,0.214,0.471,0.457
302.0,0.553,0.213,0.469,0.455
302.5,0.552,0.211,0.467,0.453
303.0,0.55,0.21,0.466,0.452
303.5,0.548,0.209,0.465,0.452
304.0,0.546,0.209,0.463,0.451
304.5,0.543,0.209,0.461,0.449
305.0,0.541,0.209,0.459,0.447
305.5,0.54,0.209,0.458,0.446
306.0,0.539,0.208,0.458,0.444
306.5,0.539,0.207,0.456,0.443
307.0,0.538,0.206,0.455,0.442
307.5,0.537,0.205,0.453,0.441
308.0,0.536,0.205,0.452,0.44
308.5,0.535,0.204,0.451,0.439
309.0,0.534,0.204,0.451,0.438
309.5,0.534,0.203,0.451,0.438
310.0,0.534,0.204,0.451,0.438
310.5,0.533,0.204,0.45,0.439
311.0,0.533,0.204,0.449,0.439
311.5,0.534,0.203,0.449,0.439
312.0,0.534,0.202,0.448,0.438
312.5,0.534,0.201,0.448,0.437
313.0,0.534,0.2,0.448,0.436
313.5,0.535,0.201,0.447,0.436
314.0,0.535,0.201,0.447,0.435
314.5,0.535,0.201,0.446,0.435
315.0,0.535,0.201,0.446,0.435
315.5,0.534,0.201,0.445,0.435
316.0,0.534,0.2,0.445,0.435
316.5,0.533,0.2,0.446,0.434
317.0,0.534,0.2,0.446,0.434
317.5,0.534,0.2,0.446,0.433
318.0,0.534,0.201,0.445,0.432
318.5,0.533,0.201,0.445,0.432
319.0,0.532,0.2,0.444,0.431
319.5,0.529,0.199,0.443,0.431
320.0,0.528,0.199,0.442,0.432
320.5,0.527,0.198,0.44,0.432
321.0,0.526,0.198,0.439,0.431
321.5,0.526,0.198,0.438,0.43
322.0,0.526,0.199,0.438,0.429
322.5,0.524,0.199,0.437,0.428
323.0,0.522,0.198,0.436,0.426
323.5,0.52,0.197,0.434,0.424
324.0,0.517,0.195,0.432,0.422
324.5,0.515,0.193,0.43,0.42
325.0,0.513,0.192,0.428,0.418
325.5,0.511,0.191,0.426,0.415
326.0,0.509,0.191,0.425,0.413
326.5,0.507,0.191,0.423,0.411
327.0,0.504,0.19,0.421,0.41
327.5,0.501,0.189,0.42,0.409
