nm,AMiMG,AMiMG20,AMiMG05,AMiMG50
247.0,0.597,0.452,0.237,0.575
247.5,0.597,0.45,0.237,0.572
248.0,0.597,0.449,0.236,0.57
248.5,0.598,0.448,0.235,0.568
249.0,0.599,0.447,0.234,0.566
249.5,0.6,0.446,0.233,0.564
250.0,0.601,0.445,0.232,0.562
250.5,0.603,0.443,0.231,0.56
251.0,0.604,0.441,0.231,0.558
251.5,0.605,0.44,0.231,0.557
252.0,0.607,0.439,0.23,0.556
252.5,0.609,0.438,0.23,0.554
253.0,0.611,0.438,0.229,0.553
253.5,0.614,0.437,0.229,0.552
254.0,0.616,0.436,0.229,0.552
254.5,0.619,0.435,0.23,0.551
255.0,0.622,0.435,0.23,0.551
255.5,0.626,0.436,0.23,0.552
256.0,0.629,0.438,0.23,0.553
256.5,0.633,0.439,0.23,0.555
257.0,0.636,0.439,0.231,0.556
257.5,0.64,0.439,0.231,0.558
258.0,0.644,0.442,0.232,0.559
258.5,0.648,0.445,0.233,0.562
259.0,0.652,0.446,0.234,0.565
259.5,0.656,0.447,0.235,0.568
260.0,0.66,0.451,0.236,0.571
260.5,0.665,0.454,0.238,0.575
261.0,0.669,0.457,0.239,0.579
261.5,0.673,0.462,0.241,0.584
262.0,0.678,0.466,0.244,0.589
262.5,0.682,0.47,0.246,0.594
263.0,0.687,0.474,0.249,0.6
263.5,0.691,0.478,0.251,0.605
264.0,0.694,0.483,0.253,0.609
264.5,0.697,0.487,0.255,0.614
265.0,0.698,0.49,0.256,0.618
265.5,0.7,0.494,0.258,0.623
266.0,0.701,0.497,0.26,0.627
266.5,0.703,0.501,0.262,0.631
267.0,0.704,0.504,0.264,0.635
267.5,0.706,0.507,0.266,0.64
268.0,0.707,0.511,0.267,0.645
268.5,0.707,0.515,0.269,0.651
269.0,0.709,0.518,0.271,0.657
269.5,0.71,0.521,0.273,0.663
270.0,0.712,0.525,0.275,0.668
270.5,0.713,0.531,0.278,0.672
271.0,0.713,0.535,0.28,0.676
271.5,0.712,0.538,0.281,0.68
272.0,0.71,0.541,0.282,0.683
272.5,0.706,0.542,0.283,0.685
273.0,0.702,0.543,0.283,0.687
273.5,0.698,0.544,0.283,0.688
274.0,0.694,0.545,0.283,0.689
274.5,0.689,0.545,0.284,0.69
275.0,0.685,0.546,0.285,0.691
275.5,0.68,0.546,0.285,0.691
276.0,0.675,0.548,0.285,0.692
276.5,0.67,0.55,0.285,0.693
277.0,0.665,0.549,0.286,0.694
277.5,0.66,0.549,0.287,0.694
278.0,0.656,0.549,0.287,0.693
278.5,0.651,0.55,0.287,0.693
279.0,0.647,0.55,0.287,0.693
279.5,0.642,0.55,0.286,0.693
280.0,0.637,0.549,0.286,0.693
280.5,0.633,0.549,0.286,0.692
281.0,0.628,0.548,0.285,0.691
281.5,0.624,0.546,0.284,0.689
282.0,0.619,0.546,0.284,0.688
282.5,0.613,0.545,0.284,0.687
283.0,0.608,0.543,0.283,0.685
283.5,0.602,0.54,0.283,0.683
284.0,0.596,0.538,0.282,0.68
284.5,0.589,0.536,0.28,0.677
285.0,0.584,0.534,0.279,0.674
