nm,TMiMG20,TMiMG50,TMiMG,TMiMG05
550.0,90.286,88.574,86.329,94.13
551.0,89.943,88.897,87.041,93.563
552.0,89.608,89.709,87.377,93.659
553.0,89.999,89.587,87.209,94.143
554.0,90.213,89.086,86.784,94.386
555.0,90.08,89.225,86.243,94.841
556.0,90.31,89.542,86.341,94.839
557.0,90.253,89.612,87.063,94.377
558.0,89.817,89.601,87.227,94.657
559.0,89.896,89.337,86.773,94.991
560.0,90.211,89.316,86.675,94.656
561.0,90.309,89.991,86.873,94.268
562.0,90.292,90.546,87.02,93.979
563.0,90.126,90.527,87.368,94.043
564.0,90.08,90.085,87.846,94.396
565.0,90.437,89.678,88.016,94.55
566.0,90.435,89.901,87.602,94.804
567.0,89.993,90.189,87.106,94.971
568.0,90.451,90.056,87.262,94.577
569.0,91.473,89.99,87.648,94.651
570.0,91.658,89.905,87.574,95.627
571.0,91.115,89.794,87.526,95.704
572.0,90.649,90.273,87.906,94.733
573.0,90.808,90.821,87.976,94.806
574.0,91.396,90.861,87.086,95.435
575.0,91.589,90.901,86.146,95.022
576.0,91.238,91.279,86.844,94.642
577.0,91.027,91.924,88.239,95.062
578.0,91.258,91.646,88.06,95.082
579.0,91.734,90.448,87.156,94.378
580.0,92.075,90.324,87.083,93.95
581.0,91.803,90.924,87.366,94.181
582.0,91.304,91.017,87.673,94.614
583.0,91.433,91.017,87.99,94.844
584.0,91.86,91.325,88.015,94.715
585.0,91.776,91.634,87.951,94.646
586.0,91.447,91.464,87.965,94.86
587.0,91.362,91.096,87.877,94.864
588.0,91.442,90.99,87.809,94.716
589.0,91.602,91.07,87.862,94.664
590.0,91.615,91.349,87.908,94.717
591.0,91.36,91.599,88.013,94.821
592.0,91.372,91.401,88.05,94.714
593.0,91.668,91.073,87.792,94.787
594.0,91.551,91.136,87.623,95.129
595.0,91.292,91.411,87.777,95.087
596.0,91.431,91.505,88.053,94.974
597.0,91.661,91.397,88.477,95.117
598.0,91.881,91.424,88.586,95.156
599.0,92.001,91.668,88.148,95.228
600.0,91.944,91.704,88.081,95.32
601.0,91.934,91.639,88.373,95.033
602.0,91.682,91.653,88.37,94.732
603.0,91.39,91.467,88.401,95.046
604.0,91.615,91.463,88.54,95.61
605.0,91.814,91.814,88.517,95.476
606.0,91.703,91.911,88.511,94.854
607.0,91.779,91.764,88.627,94.856
608.0,92.1,91.707,88.577,95.2
609.0,92.35,91.669,88.24,95.025
610.0,92.357,91.676,88.201,94.733
611.0,92.169,91.893,88.673,94.817
612.0,91.824,92.155,89.016,95.029
613.0,91.606,92.12,88.99,94.991
614.0,91.873,91.847,88.888,94.688
615.0,92.197,91.721,88.749,94.518
616.0,92.165,91.878,88.557,94.717
617.0,92.013,92.125,88.582,95.084
618.0,91.974,92.198,88.757,95.509
619.0,92.101,92.088,88.719,95.781
620.0,92.358,91.961,88.549,95.66
621.0,92.556,91.819,88.603,95.383
622.0,92.518,91.836,88.796,95.061
623.0,92.336,92.048,88.922,94.972
624.0,92.141,92.022,89.176,95.301
625.0,92.077,92.007,89.309,95.487
626.0,92.086,92.352,88.997,95.43
627.0,92.013,92.487,88.755,95.367
628.0,92.212,92.3,88.952,95.385
629.0,92.459,92.207,89.232,95.434
630.0,92.302,92.208,89.185,95.271
631.0,92.353,92.174,88.943,95.276
632.0,92.633,91.988,89.016,95.446
633.0,92.6,91.825,89.329,95.268
634.0,92.472,92.012,89.276,95.243
635.0,92.313,92.233,88.972,95.507
636.0,92.017,92.277,89.018,95.463
637.0,91.956,92.447,89.356,95.24
638.0,92.401,92.584,89.459,95.028
639.0,92.821,92.496,89.203,94.848
640.0,92.628,92.423,89.038,95.075
641.0,92.237,92.523,89.176,95.6
642.0,92.155,92.618,89.22,95.767
643.0,92.397,92.523,89.065,95.475
644.0,92.672,92.469,89.112,95.243
645.0,92.496,92.55,89.415,95.393
646.0,92.252,92.577,89.68,95.596
647.0,92.637,92.52,89.609,95.509
648.0,93.127,92.432,89.37,95.467
649.0,92.95,92.502,89.539,95.64
650.0,92.498,92.827,89.751,95.587
651.0,92.438,93.048,89.535,95.297
652.0,92.586,92.879,89.481,95.314
653.0,92.587,92.639,89.68,95.556
654.0,92.465,92.504,89.506,95.545
655.0,92.451,92.416,89.046,95.559
656.0,92.769,92.607,88.963,95.772
657.0,93.046,92.981,89.266,95.756
658.0,92.971,93.135,89.538,95.515
659.0,92.965,92.955,89.594,95.444
660.0,93.11,92.677,89.458,95.556
661.0,93.117,92.508,89.52,95.526
662.0,92.999,92.512,89.777,95.486
663.0,92.77,92.89,89.845,95.67
664.0,92.532,93.345,89.81,95.794
665.0,92.622,93.371,89.754,95.81
666.0,92.965,93.229,89.688,95.874
667.0,93.096,93.245,89.663,95.708
668.0,93.043,93.217,89.607,95.334
669.0,93.194,92.913,89.667,95.316
670.0,93.329,92.62,89.784,95.412
671.0,93.059,92.729,89.62,95.253
672.0,92.659,92.879,89.452,95.311
673.0,92.627,92.804,89.65,95.639
674.0,92.882,92.829,89.971,95.996
675.0,92.941,92.849,90.152,96.133
676.0,92.832,92.815,90.087,95.737
677.0,92.731,92.897,89.86,95.331
678.0,92.667,92.848,89.837,95.423
679.0,92.911,92.748,89.993,95.655
680.0,93.207,92.831,89.989,95.698
681.0,93.104,92.961,89.883,95.561
682.0,92.98,92.988,89.816,95.408
683.0,93.034,92.839,89.761,95.407
684.0,93.075,92.757,89.696,95.558
