nm,A_7_5g,A_15g,A_18g,A_22_5g
310.0,1.138,1.231,1.206,1.7
310.5,1.14,1.234,1.209,1.699
311.0,1.142,1.236,1.211,1.7
311.5,1.144,1.239,1.214,1.704
312.0,1.146,1.24,1.217,1.711
312.5,1.149,1.242,1.219,1.718
313.0,1.15,1.244,1.221,1.722
313.5,1.151,1.245,1.223,1.725
314.0,1.152,1.247,1.225,1.727
314.5,1.154,1.249,1.227,1.73
315.0,1.157,1.251,1.229,1.734
315.5,1.16,1.254,1.232,1.738
316.0,1.163,1.257,1.235,1.741
316.5,1.165,1.26,1.237,1.743
317.0,1.167,1.262,1.237,1.744
317.5,1.169,1.263,1.237,1.747
318.0,1.171,1.264,1.238,1.751
318.5,1.172,1.264,1.24,1.756
319.0,1.173,1.264,1.242,1.759
319.5,1.174,1.264,1.243,1.761
320.0,1.174,1.265,1.243,1.763
320.5,1.174,1.265,1.241,1.765
321.0,1.173,1.266,1.24,1.764
321.5,1.171,1.265,1.24,1.761
322.0,1.17,1.264,1.241,1.755
322.5,1.168,1.262,1.242,1.749
323.0,1.167,1.259,1.241,1.746
323.5,1.165,1.256,1.239,1.745
324.0,1.163,1.253,1.235,1.743
324.5,1.16,1.25,1.231,1.739
325.0,1.158,1.247,1.227,1.733
325.5,1.154,1.243,1.223,1.726
326.0,1.149,1.237,1.218,1.719
326.5,1.144,1.231,1.214,1.712
327.0,1.14,1.225,1.208,1.704
327.5,1.135,1.219,1.201,1.691
328.0,1.129,1.213,1.194,1.675
328.5,1.122,1.206,1.186,1.66
329.0,1.114,1.198,1.178,1.649
329.5,1.105,1.19,1.169,1.641
330.0,1.097,1.183,1.16,1.631
330.5,1.088,1.174,1.151,1.618
331.0,1.079,1.165,1.142,1.603
331.5,1.07,1.154,1.132,1.587
332.0,1.06,1.143,1.122,1.569
332.5,1.051,1.13,1.11,1.552
333.0,1.042,1.118,1.098,1.536
333.5,1.031,1.106,1.086,1.519
334.0,1.02,1.094,1.074,1.503
334.5,1.007,1.082,1.062,1.487
335.0,0.994,1.069,1.05,1.469
335.5,0.981,1.055,1.037,1.448
336.0,0.968,1.041,1.024,1.425
336.5,0.955,1.027,1.009,1.402
337.0,0.942,1.013,0.995,1.379
337.5,0.929,1.0,0.98,1.358
338.0,0.914,0.987,0.965,1.339
338.5,0.9,0.972,0.95,1.319
339.0,0.885,0.956,0.933,1.298
339.5,0.869,0.939,0.914,1.275
340.0,0.854,0.924,0.896,1.251
340.5,0.839,0.907,0.879,1.226
341.0,0.824,0.889,0.863,1.2
341.5,0.811,0.869,0.847,1.175
342.0,0.799,0.849,0.829,1.152
342.5,0.787,0.833,0.811,1.134
343.0,0.777,0.82,0.795,1.119
343.5,0.764,0.808,0.782,1.102
344.0,0.747,0.794,0.769,1.078
344.5,0.725,0.775,0.755,1.049
345.0,0.703,0.755,0.739,1.02
345.5,0.684,0.737,0.723,0.992
346.0,0.67,0.724,0.708,0.969
346.5,0.658,0.713,0.695,0.95
347.0,0.648,0.7,0.681,0.935
347.5,0.635,0.685,0.664,0.917
348.0,0.621,0.667,0.646,0.896
348.5,0.608,0.652,0.63,0.872
349.0,0.597,0.641,0.615,0.849
349.5,0.587,0.633,0.603,0.828
350.0,0.575,0.625,0.589,0.808
350.5,0.56,0.615,0.574,0.787
351.0,0.547,0.602,0.559,0.767
351.5,0.535,0.584,0.545,0.749
352.0,0.524,0.563,0.533,0.733
352.5,0.511,0.54,0.523,0.716
353.0,0.495,0.52,0.512,0.697
353.5,0.478,0.505,0.501,0.679
354.0,0.464,0.494,0.49,0.662
354.5,0.454,0.484,0.478,0.646
355.0,0.446,0.473,0.464,0.628
355.5,0.437,0.462,0.45,0.609
356.0,0.43,0.452,0.438,0.593
356.5,0.424,0.443,0.43,0.582
357.0,0.417,0.433,0.424,0.572
357.5,0.406,0.422,0.417,0.561
358.0,0.395,0.41,0.411,0.547
358.5,0.386,0.4,0.403,0.531
359.0,0.379,0.391,0.394,0.515
359.5,0.373,0.384,0.384,0.499
360.0,0.364,0.378,0.374,0.484
360.5,0.352,0.373,0.363,0.472
361.0,0.34,0.365,0.353,0.461
361.5,0.331,0.355,0.345,0.451
362.0,0.326,0.344,0.336,0.442
362.5,0.323,0.334,0.328,0.434
363.0,0.319,0.324,0.32,0.425
363.5,0.311,0.316,0.313,0.415
364.0,0.3,0.31,0.305,0.404
364.5,0.289,0.308,0.298,0.393
365.0,0.282,0.306,0.291,0.384
365.5,0.277,0.302,0.286,0.376
366.0,0.274,0.293,0.282,0.369
366.5,0.27,0.283,0.278,0.364
367.0,0.266,0.273,0.271,0.358
367.5,0.26,0.266,0.261,0.35
368.0,0.255,0.26,0.251,0.341
368.5,0.252,0.258,0.246,0.331
369.0,0.25,0.257,0.245,0.323
369.5,0.245,0.255,0.245,0.32
370.0,0.237,0.252,0.244,0.32
370.5,0.226,0.247,0.237,0.321
371.0,0.215,0.236,0.226,0.318
371.5,0.203,0.218,0.211,0.31
372.0,0.195,0.196,0.2,0.301
372.5,0.198,0.18,0.198,0.297
373.0,0.21,0.178,0.205,0.298
373.5,0.219,0.193,0.212,0.299
374.0,0.212,0.214,0.212,0.296
374.5,0.193,0.23,0.205,0.29
375.0,0.177,0.233,0.196,0.282
375.5,0.174,0.225,0.193,0.273
376.0,0.18,0.214,0.198,0.264
376.5,0.187,0.208,0.208,0.26
377.0,0.187,0.209,0.214,0.259
377.5,0.18,0.212,0.211,0.258
378.0,0.176,0.21,0.2,0.256
378.5,0.177,0.198,0.187,0.254
379.0,0.181,0.187,0.179,0.253
379.5,0.182,0.186,0.175,0.253
380.0,0.178,0.199,0.173,0.254
380.5,0.17,0.217,0.168,0.254
381.0,0.162,0.226,0.16,0.252
381.5,0.157,0.222,0.153,0.248
382.0,0.158,0.208,0.152,0.242
382.5,0.165,0.191,0.155,0.237
383.0,0.171,0.18,0.156,0.233
383.5,0.173,0.174,0.156,0.228
384.0,0.172,0.169,0.157,0.223
384.5,0.168,0.161,0.16,0.218
385.0,0.163,0.153,0.161,0.213
385.5,0.155,0.15,0.16,0.207
386.0,0.149,0.155,0.159,0.2
386.5,0.146,0.163,0.158,0.196
387.0,0.149,0.17,0.157,0.196
387.5,0.153,0.173,0.155,0.199
388.0,0.154,0.175,0.154,0.202
388.5,0.153,0.177,0.155,0.205
389.0,0.15,0.177,0.156,0.205
389.5,0.144,0.173,0.155,0.203
390.0,0.137,0.164,0.153,0.198
390.5,0.13,0.156,0.151,0.193
391.0,0.127,0.151,0.151,0.189
391.5,0.129,0.152,0.149,0.188
392.0,0.135,0.155,0.144,0.189
392.5,0.141,0.159,0.139,0.19
393.0,0.146,0.159,0.137,0.191
393.5,0.147,0.153,0.138,0.191
394.0,0.143,0.144,0.138,0.189
394.5,0.134,0.135,0.13,0.183
395.0,0.124,0.132,0.117,0.175
395.5,0.115,0.136,0.104,0.167
396.0,0.112,0.14,0.097,0.162
396.5,0.115,0.141,0.099,0.164
397.0,0.122,0.139,0.105,0.169
397.5,0.127,0.137,0.112,0.172
398.0,0.126,0.137,0.117,0.17
398.5,0.122,0.136,0.121,0.165
399.0,0.121,0.13,0.126,0.162
399.5,0.125,0.119,0.13,0.165
