Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde,hv
1.2285125235769854,1.4969656100760915,8.433405381987841,2.5788230832539374,3.556575271371739,4.242507896461024,4.1986706326081915,4.152317637507207,5.636348882079219
1.219114148944552,1.471684605807142,8.268644668128925,2.5814899608609667,3.6034683241108985,4.227862815434915,4.138201423984081,4.136978612298605,5.610845040983838
1.2731955812965845,1.531109987589437,8.30215045106176,2.666204836569989,3.660278688301992,4.295404732060824,4.239232721282059,4.212896383130125,5.58557096422265
1.3049546737872972,1.5179710545136107,8.222075019269358,2.638538870228852,3.6530242666704558,4.318424054361407,4.218391299566855,4.200399878100384,5.560523560795642
1.3258102672095713,1.5331747978540013,8.085057225414468,2.6342971334086167,3.6503535279324217,4.171946425746582,4.178741329819632,4.158368390139577,5.535699794899232
1.395359858913119,1.5815305757290339,8.083240859115865,2.6664003139703487,3.721714732145771,4.295338407145442,4.206039135329054,4.194002043837618,5.51109668469968
1.4222959467747198,1.6455241546611528,8.088723269390623,2.72602461199379,3.7650647084193993,4.322827432387203,4.267593654302817,4.304757516214457,5.486711301139063
1.4546156522573153,1.6839628358006402,8.076659600880701,2.8086195222429398,3.8714691970633575,4.369610340481565,4.309609169341294,4.349069266640371,5.462540766772811
1.5436761906294703,1.7547620198120564,8.12207628899888,2.8980741657778384,3.8699958321706367,4.422858736935489,4.359740604620972,4.337431787707006,5.438582254637842
1.5831027478936233,1.8222039422113205,8.148760090142357,2.928697873823388,3.9417279831626497,4.436869226582877,4.378004656419216,4.4058098213533885,5.414832987150342
1.639269121080247,1.860317954597816,8.12201024265881,3.012465118090952,3.9622178681567872,4.507106789251898,4.39549255987929,4.412552816524035,5.3912902350322955
1.69457969454121,1.905338894767849,8.189528747977496,3.0585732808728188,4.05268104668443,4.51600524271422,4.477286231343259,4.488010036564747,5.3679513162659225
1.7465306487680228,1.9670131743016095,8.152707306593504,3.136447219417027,4.133574281940404,4.597182977520886,4.50013035143079,4.606757203304734,5.344813595075121
1.8148843263956735,2.0205639846635672,8.249671508726928,3.1900547597781563,4.184327097513587,4.648258878973156,4.584745359006941,4.613980252356398,5.321874480933168
1.8478486193412038,2.0762709231782606,8.19274048124903,3.24684538816312,4.252075577879304,4.660092180187721,4.6204945882328365,4.680636508388839,5.299131427595848
