"nm"	"Ch"	"Go"	"Illy"	"Mi"	"Ox"	"Ve"
273.5	0.79	0.897	0.951	0.698	1.051	0.5649999999999999
274	0.792	0.897	0.949	0.694	1.054	0.5649999999999999
274.5	0.792	0.896	0.947	0.6889999999999999	1.057	0.5649999999999999
275	0.792	0.894	0.944	0.6850000000000001	1.06	0.5659999999999999
275.5	0.791	0.892	0.9409999999999999	0.68	1.061	0.5679999999999999
276	0.791	0.891	0.9379999999999999	0.675	1.063	0.57
276.5	0.792	0.888	0.9360000000000001	0.67	1.065	0.57
277	0.792	0.885	0.9330000000000001	0.665	1.066	0.572
277.5	0.792	0.881	0.93	0.66	1.067	0.573
278	0.792	0.877	0.926	0.656	1.067	0.572
278.5	0.792	0.873	0.922	0.651	1.067	0.572
279	0.792	0.868	0.918	0.647	1.068	0.572
279.5	0.791	0.863	0.915	0.642	1.068	0.573
280	0.79	0.858	0.91	0.637	1.066	0.574
280.5	0.788	0.852	0.906	0.633	1.064	0.573
281	0.785	0.846	0.9	0.628	1.062	0.573
281.5	0.783	0.839	0.895	0.624	1.059	0.573
282	0.78	0.832	0.889	0.619	1.056	0.571
282.5	0.777	0.824	0.883	0.613	1.054	0.57
283	0.773	0.8159999999999999	0.877	0.608	1.05	0.57
283.5	0.769	0.8070000000000001	0.87	0.602	1.045	0.5679999999999999
284	0.765	0.798	0.862	0.596	1.04	0.5659999999999999
284.5	0.761	0.789	0.855	0.589	1.034	0.5649999999999999
285	0.756	0.779	0.848	0.584	1.028	0.5649999999999999
285.5	0.752	0.77	0.842	0.578	1.021	0.5629999999999999
286	0.746	0.76	0.835	0.574	1.015	0.5580000000000001
286.5	0.741	0.751	0.828	0.569	1.008	0.554
287	0.736	0.741	0.82	0.5629999999999999	1.001	0.553
287.5	0.731	0.73	0.8129999999999999	0.5580000000000001	0.994	0.551
288	0.725	0.719	0.805	0.552	0.986	0.548
288.5	0.72	0.709	0.797	0.547	0.979	0.545
289	0.714	0.699	0.79	0.542	0.971	0.543
289.5	0.709	0.6889999999999999	0.783	0.537	0.964	0.54
290	0.703	0.68	0.776	0.533	0.957	0.535
290.5	0.697	0.671	0.769	0.528	0.95	0.53
291	0.6919999999999999	0.662	0.762	0.525	0.9429999999999999	0.527
291.5	0.6870000000000001	0.653	0.756	0.521	0.9360000000000001	0.526
292	0.6820000000000001	0.645	0.75	0.518	0.929	0.525
292.5	0.677	0.637	0.746	0.514	0.923	0.523
293	0.673	0.63	0.741	0.511	0.917	0.52
293.5	0.668	0.623	0.736	0.507	0.912	0.516
294	0.664	0.616	0.731	0.504	0.908	0.515
294.5	0.66	0.61	0.727	0.502	0.903	0.514
295	0.656	0.605	0.722	0.5	0.897	0.511
295.5	0.652	0.599	0.718	0.499	0.892	0.508
296	0.648	0.593	0.714	0.497	0.888	0.507
296.5	0.644	0.589	0.71	0.495	0.884	0.505
297	0.641	0.584	0.707	0.494	0.88	0.504
297.5	0.638	0.58	0.704	0.493	0.877	0.503
298	0.635	0.576	0.702	0.492	0.874	0.502
298.5	0.632	0.573	0.699	0.492	0.871	0.5
299	0.63	0.57	0.696	0.491	0.868	0.5
299.5	0.627	0.5669999999999999	0.6929999999999999	0.491	0.865	0.499
300	0.624	0.5639999999999999	0.6909999999999999	0.49	0.862	0.498
300.5	0.621	0.5610000000000001	0.6889999999999999	0.489	0.861	0.495
301	0.62	0.5580000000000001	0.6870000000000001	0.488	0.86	0.494
301.5	0.619	0.555	0.6860000000000001	0.488	0.859	0.494
302	0.618	0.553	0.6840000000000001	0.488	0.857	0.493
302.5	0.617	0.552	0.6820000000000001	0.487	0.856	0.491
303	0.616	0.55	0.681	0.487	0.854	0.49
303.5	0.615	0.548	0.681	0.487	0.854	0.49
304	0.614	0.546	0.68	0.488	0.853	0.489
304.5	0.612	0.543	0.679	0.488	0.854	0.49
305	0.61	0.541	0.677	0.488	0.854	0.489
305.5	0.608	0.54	0.676	0.487	0.855	0.487
306	0.607	0.539	0.675	0.486	0.855	0.486
306.5	0.607	0.539	0.674	0.485	0.854	0.488
307	0.607	0.538	0.673	0.485	0.854	0.489
307.5	0.607	0.537	0.672	0.484	0.854	0.489
308	0.607	0.536	0.671	0.484	0.854	0.488
308.5	0.606	0.535	0.671	0.484	0.856	0.488
309	0.605	0.534	0.671	0.483	0.857	0.488
309.5	0.605	0.534	0.67	0.483	0.859	0.489
310	0.605	0.534	0.67	0.483	0.86	0.49
310.5	0.605	0.533	0.67	0.482	0.861	0.489
311	0.606	0.533	0.669	0.481	0.863	0.488
311.5	0.606	0.534	0.669	0.48	0.865	0.487
312	0.607	0.534	0.669	0.48	0.867	0.488
312.5	0.608	0.534	0.669	0.48	0.869	0.489
313	0.61	0.534	0.669	0.481	0.873	0.49
