nm,75,15,18,225
190.0,,,,
190.5,,,,
191.0,,,,
191.5,,,,
192.0,,1.699,,
192.5,,1.457,,
193.0,,1.407,,
193.5,,1.524,,
194.0,,1.422,,
194.5,,1.295,,
195.0,,1.368,,
195.5,,1.435,,
196.0,,1.343,,
196.5,,1.272,,
197.0,,1.344,,
197.5,,1.365,,
198.0,,1.292,,
198.5,,1.287,,
199.0,,1.292,,
199.5,1.254,1.255,,
200.0,1.258,1.278,,
200.5,1.259,1.302,,
201.0,1.252,1.249,,
201.5,1.239,1.215,,
202.0,1.219,1.247,,
202.5,1.194,1.265,,
203.0,1.166,1.229,,
203.5,1.14,1.195,,
204.0,1.123,1.182,,
204.5,1.113,1.163,,
205.0,1.105,1.147,,
205.5,1.091,1.132,,
206.0,1.073,1.111,,
206.5,1.055,1.093,,
207.0,1.039,1.072,,
207.5,1.024,1.048,,
208.0,1.007,1.037,,
208.5,0.988,1.032,,
209.0,0.97,1.014,,
209.5,0.953,0.994,,
210.0,0.936,0.979,,
210.5,0.916,0.961,,
211.0,0.893,0.946,,
211.5,0.871,0.937,,
212.0,0.848,0.926,,
212.5,0.824,0.912,,
213.0,0.799,0.898,,
213.5,0.773,0.884,,
214.0,0.747,0.868,,
214.5,0.721,0.853,,
215.0,0.696,0.838,,
215.5,0.672,0.824,,
216.0,0.648,0.812,,
216.5,0.624,0.799,,
217.0,0.601,0.785,,
217.5,0.578,0.773,,
218.0,0.557,0.761,,
218.5,0.537,0.749,,
219.0,0.518,0.737,,
219.5,0.501,0.726,,
220.0,0.486,0.715,,
220.5,0.471,0.703,,
221.0,0.457,0.691,,
221.5,0.443,0.681,,
222.0,0.43,0.671,,
222.5,0.417,0.66,,
223.0,0.406,0.65,,
223.5,0.396,0.64,,
224.0,0.386,0.632,,
224.5,0.376,0.622,,1.31
225.0,0.367,0.612,,1.269
225.5,0.358,0.603,,1.231
226.0,0.35,0.595,,1.197
226.5,0.343,0.588,,1.169
227.0,0.336,0.582,,1.144
227.5,0.33,0.576,,1.123
228.0,0.325,0.571,,1.105
228.5,0.319,0.565,,1.088
229.0,0.314,0.558,,1.072
229.5,0.31,0.553,,1.056
230.0,0.305,0.548,,1.041
230.5,0.301,0.543,,1.026
231.0,0.298,0.539,,1.013
231.5,0.294,0.535,,0.999
232.0,0.29,0.53,,0.985
232.5,0.287,0.525,,0.972
233.0,0.284,0.52,,0.96
233.5,0.28,0.517,,0.948
234.0,0.277,0.513,,0.936
234.5,0.274,0.508,,0.925
235.0,0.271,0.504,,0.913
235.5,0.267,0.499,,0.903
236.0,0.265,0.494,,0.892
236.5,0.262,0.49,,0.882
237.0,0.26,0.488,,0.873
237.5,0.258,0.486,2.55,0.863
238.0,0.256,0.482,2.498,0.855
238.5,0.254,0.479,2.45,0.848
239.0,0.252,0.476,2.407,0.841
239.5,0.25,0.474,2.372,0.834
240.0,0.249,0.471,2.345,0.828
240.5,0.248,0.469,2.321,0.822
241.0,0.246,0.467,2.297,0.816
241.5,0.245,0.465,2.272,0.811
242.0,0.243,0.463,2.246,0.805
242.5,0.242,0.461,2.223,0.8
243.0,0.241,0.46,2.202,0.795
243.5,0.24,0.459,2.184,0.79
244.0,0.239,0.457,2.167,0.786
