nm,TOxMM20,TOxMM05,TOxMM50,TOxMM
550.0,82.086,88.85,83.171,85.385
551.0,82.466,88.63,83.105,85.199
552.0,82.63,89.026,83.234,85.204
553.0,82.671,89.667,83.563,85.25
554.0,82.859,89.885,83.52,85.273
555.0,82.964,89.62,83.598,85.545
556.0,83.032,89.224,84.213,85.636
557.0,83.071,89.23,84.487,85.597
558.0,83.19,89.605,84.393,86.145
559.0,83.571,89.674,84.324,86.803
560.0,83.973,89.789,84.112,86.843
561.0,84.102,90.374,84.329,86.674
562.0,84.157,90.525,85.111,86.8
563.0,84.453,90.022,85.683,87.054
564.0,84.663,89.769,85.864,86.708
565.0,84.443,89.946,85.422,86.122
566.0,84.426,90.118,84.752,86.534
567.0,84.817,90.222,84.954,87.32
568.0,84.7,90.148,85.5,87.678
569.0,84.294,90.071,85.764,87.891
570.0,84.297,90.356,86.397,87.917
571.0,84.216,90.404,87.143,87.738
572.0,84.225,89.971,87.308,87.506
573.0,84.892,89.803,87.367,87.652
574.0,85.263,90.047,87.929,87.713
575.0,84.768,90.518,88.252,86.845
576.0,84.836,91.122,87.445,86.317
577.0,85.707,91.111,86.56,87.259
578.0,85.694,90.597,86.412,88.349
579.0,84.935,90.76,86.54,88.658
580.0,84.732,91.306,87.089,88.947
581.0,85.088,91.431,87.741,89.275
582.0,85.311,91.415,87.814,89.269
583.0,85.21,91.496,87.618,89.279
584.0,85.281,91.51,87.746,89.471
585.0,85.526,91.567,88.16,89.564
586.0,85.613,91.838,88.348,89.454
587.0,85.53,91.826,88.421,89.379
588.0,85.395,91.427,88.602,89.29
589.0,85.558,91.431,88.437,89.121
590.0,86.027,91.61,88.104,89.25
591.0,86.312,91.496,88.283,89.726
592.0,86.13,91.71,88.703,89.962
593.0,85.799,92.137,88.813,89.672
594.0,85.954,92.173,88.787,89.575
595.0,86.429,92.007,88.903,89.958
596.0,86.424,91.892,89.174,90.009
597.0,86.042,91.977,89.488,89.899
598.0,86.064,92.148,89.565,90.184
599.0,86.532,91.999,89.564,90.18
600.0,86.897,91.808,89.902,89.999
601.0,86.987,92.149,90.133,90.219
602.0,87.002,92.632,89.932,90.346
603.0,86.93,92.687,89.874,90.32
604.0,86.748,92.555,90.071,90.264
605.0,86.735,92.39,90.081,90.119
606.0,86.98,92.243,89.879,90.316
607.0,87.27,92.388,89.814,90.483
608.0,87.335,92.587,90.113,90.056
609.0,87.219,92.498,90.562,89.985
610.0,87.245,92.335,90.543,90.67
611.0,87.31,92.401,90.022,90.971
612.0,87.385,92.626,89.92,90.803
613.0,87.601,92.868,90.388,90.815
614.0,87.615,93.005,90.599,90.706
615.0,87.518,92.806,90.561,90.57
616.0,87.602,92.538,90.706,90.807
617.0,87.564,92.583,90.893,90.963
618.0,87.574,92.799,91.007,90.812
619.0,87.934,93.005,91.054,90.723
620.0,88.145,93.002,91.033,90.821
621.0,88.001,92.884,90.989,90.855
622.0,87.939,93.094,90.815,90.8
623.0,88.015,93.214,90.626,90.968
624.0,88.031,92.797,90.762,91.196
625.0,88.081,92.614,91.067,91.247
626.0,88.071,93.06,91.153,91.403
627.0,88.034,93.387,91.139,91.486
628.0,88.249,93.164,91.335,91.209
629.0,88.407,92.962,91.542,91.035
630.0,88.393,93.178,91.527,91.275
631.0,88.622,93.274,91.529,91.731
632.0,88.731,93.136,91.607,91.867
633.0,88.389,93.313,91.435,91.571
634.0,88.086,93.508,91.101,91.537
635.0,87.962,93.493,91.25,91.765
636.0,88.123,93.677,91.831,91.716
637.0,88.55,93.559,92.064,91.531
638.0,88.699,92.965,91.835,91.485
639.0,88.615,92.883,91.655,91.485
640.0,88.628,93.319,91.731,91.433
641.0,88.662,93.641,91.842,91.412
642.0,88.649,93.885,91.955,91.503
643.0,88.746,93.93,92.162,91.717
644.0,88.901,93.661,92.212,92.003
645.0,88.782,93.61,92.026,92.182
646.0,88.445,93.925,91.893,92.084
647.0,88.303,93.992,91.897,91.845
648.0,88.603,93.614,91.948,91.858
649.0,89.159,93.325,92.156,92.075
650.0,89.52,93.385,92.446,92.199
651.0,89.451,93.512,92.451,92.207
652.0,89.097,93.599,92.39,92.028
653.0,88.835,93.824,92.754,91.905
654.0,88.839,93.859,93.035,92.096
655.0,88.87,93.485,92.73,92.173
656.0,88.903,93.463,92.582,92.03
657.0,89.155,93.82,92.852,92.097
658.0,89.55,93.769,92.726,92.176
659.0,89.73,93.675,92.222,91.9
660.0,89.451,93.845,92.277,91.722
661.0,89.084,93.736,92.891,91.945
662.0,89.179,93.629,93.034,92.235
663.0,89.319,93.889,92.776,92.376
664.0,89.065,94.039,92.904,92.36
665.0,89.085,93.977,93.043,92.26
666.0,89.499,93.89,92.819,92.141
667.0,89.59,93.955,92.647,92.105
668.0,89.441,94.377,92.775,92.256
669.0,89.501,94.473,92.972,92.371
670.0,89.673,93.816,92.877,92.308
671.0,89.707,93.44,92.968,92.384
672.0,89.747,93.805,93.457,92.587
673.0,89.912,94.033,93.495,92.453
674.0,89.935,93.847,93.124,92.161
675.0,89.819,93.734,92.946,92.169
676.0,89.727,93.707,93.019,92.353
677.0,89.773,93.735,93.27,92.448
678.0,89.951,93.973,93.514,92.377
679.0,89.81,94.205,93.492,92.36
680.0,89.472,94.185,93.125,92.495
681.0,89.493,94.082,92.911,92.503
682.0,89.749,93.998,93.192,92.459
683.0,90.014,93.804,93.367,92.493
684.0,90.132,93.844,93.174,92.506
685.0,90.12,94.318,93.152,92.607
686.0,90.271,94.765,93.279,92.691
687.0,90.291,94.941,93.197,92.615
688.0,90.033,94.775,93.362,92.534
689.0,89.938,94.478,93.897,92.525
690.0,89.845,94.421,94.11,92.725
691.0,89.713,94.251,93.887,93.033
692.0,90.151,93.9,93.581,93.031
693.0,90.666,93.998,93.478,92.65
694.0,90.336,94.354,93.647,92.237
695.0,89.916,94.39,93.838,92.429
696.0,90.179,94.24,93.917,93.1
697.0,90.361,94.151,93.912,93.281
698.0,90.052,94.252,93.871,93.017
699.0,89.831,94.473,93.881,92.841
