nm,TChMN50,TChMN05,TChMN20,TChMN
551.0,81.881,92.765,86.071,88.766
552.0,81.359,92.461,86.427,89.281
553.0,81.294,92.393,86.948,89.804
554.0,81.649,92.752,87.043,89.76
555.0,82.306,92.84,86.978,89.653
556.0,82.54,92.516,87.465,89.661
557.0,82.365,92.257,88.028,89.693
558.0,82.572,92.454,88.117,89.981
559.0,82.799,93.28,88.11,90.191
560.0,82.511,94.061,88.467,90.088
561.0,82.651,93.996,88.632,90.3
562.0,83.448,93.436,88.245,90.577
563.0,83.463,93.377,88.052,90.366
564.0,82.797,93.813,88.009,90.16
565.0,82.857,93.717,88.012,90.48
566.0,83.3,93.013,88.181,91.043
567.0,83.389,92.566,88.06,91.001
568.0,83.471,92.67,87.98,90.696
569.0,83.44,92.983,88.169,90.782
570.0,83.498,93.258,88.722,90.797
571.0,84.23,93.792,89.356,90.658
572.0,84.857,94.482,88.972,90.606
573.0,84.814,94.525,88.397,91.214
574.0,84.921,94.279,88.566,92.419
575.0,85.423,94.322,88.883,92.372
576.0,85.658,93.99,89.421,91.328
577.0,85.111,93.621,90.208,91.271
578.0,83.981,93.917,90.606,91.47
579.0,83.646,94.443,90.165,91.352
580.0,84.365,95.0,89.475,91.832
581.0,84.751,95.371,89.488,92.377
582.0,84.676,95.444,89.779,92.374
583.0,84.778,95.613,89.641,92.222
584.0,84.996,95.808,89.274,92.256
585.0,85.126,95.654,89.357,92.437
586.0,85.232,95.412,90.078,92.583
587.0,85.3,95.48,90.527,92.746
588.0,85.136,95.559,90.37,92.802
589.0,85.023,95.612,90.165,92.745
590.0,85.246,95.818,89.923,92.921
591.0,85.455,95.841,89.675,92.991
592.0,85.507,95.847,89.747,92.695
593.0,85.601,96.195,89.91,92.623
594.0,85.853,96.437,90.015,92.792
595.0,86.109,96.242,90.199,92.753
596.0,86.054,95.969,90.321,92.759
597.0,85.865,96.05,90.454,92.999
598.0,85.915,96.285,90.671,93.194
599.0,86.245,96.21,90.738,93.208
600.0,86.501,96.055,90.646,92.989
601.0,86.334,96.105,90.566,92.75
602.0,86.259,96.322,90.621,92.919
603.0,86.656,96.571,90.907,93.4
604.0,86.949,96.513,91.103,93.544
605.0,87.011,96.295,90.833,93.216
606.0,87.182,96.245,90.597,93.211
607.0,87.392,96.237,90.781,93.64
608.0,87.414,96.308,91.023,93.798
609.0,87.269,96.48,91.102,93.755
610.0,87.246,96.549,91.128,93.678
611.0,87.4,96.489,91.29,93.408
612.0,87.51,96.427,91.412,93.301
613.0,87.588,96.522,91.355,93.492
614.0,87.676,96.67,91.486,93.617
615.0,87.707,96.63,91.625,93.537
616.0,87.774,96.582,91.42,93.38
617.0,87.812,96.709,91.292,93.452
618.0,87.713,96.669,91.349,93.752
619.0,87.933,96.387,91.42,93.829
620.0,88.465,96.25,91.692,93.675
621.0,88.507,96.283,91.945,93.73
622.0,88.17,96.445,91.875,93.983
623.0,88.008,96.662,91.713,94.144
624.0,88.05,96.776,91.577,94.162
625.0,88.336,96.948,91.545,94.006
626.0,88.615,97.022,91.875,93.934
627.0,88.675,96.868,92.231,94.185
628.0,88.609,96.764,92.193,94.305
629.0,88.49,96.611,92.137,94.167
630.0,88.564,96.433,92.194,94.165
631.0,88.688,96.651,92.071,94.167
632.0,88.63,96.923,91.955,93.95
633.0,88.664,96.768,92.161,93.866
634.0,88.894,96.666,92.454,94.117
635.0,89.134,96.769,92.417,94.308
636.0,89.14,96.813,92.27,94.245
637.0,88.944,97.105,92.326,94.118
638.0,88.991,97.374,92.411,94.076
639.0,89.242,96.935,92.49,94.163
640.0,89.232,96.547,92.605,94.206
641.0,89.14,96.919,92.612,94.283
642.0,89.393,97.257,92.441,94.598
643.0,89.679,97.28,92.289,94.73
644.0,89.527,97.23,92.437,94.35
645.0,89.392,96.935,92.632,93.975
646.0,89.682,96.846,92.524,94.092
647.0,89.814,97.094,92.453,94.31
648.0,89.738,97.146,92.797,94.307
649.0,89.813,97.138,93.033,94.504
650.0,89.744,97.18,92.938,94.859
651.0,89.646,97.278,93.15,94.789
652.0,89.791,97.445,93.241,94.446
653.0,89.901,97.475,92.819,94.409
654.0,89.873,97.453,92.72,94.651
655.0,89.869,97.26,92.951,94.738
656.0,89.931,97.001,92.871,94.615
657.0,90.0,97.032,92.65,94.496
658.0,90.134,97.096,92.865,94.456
659.0,90.353,97.233,93.308,94.517
660.0,90.382,97.441,93.292,94.633
661.0,90.19,97.263,93.08,94.749
662.0,90.159,97.022,93.123,94.895
663.0,90.213,97.128,93.066,95.019
664.0,90.097,97.349,93.009,94.971
665.0,89.999,97.544,93.303,94.78
666.0,90.172,97.58,93.688,94.704
667.0,90.566,97.414,93.786,94.777
668.0,90.648,97.483,93.498,94.741
669.0,90.301,97.728,93.345,94.663
670.0,90.281,97.613,93.593,94.702
671.0,90.622,97.19,93.775,94.564
672.0,90.608,96.91,93.75,94.338
673.0,90.407,97.177,93.836,94.515
674.0,90.526,97.609,94.084,94.771
675.0,90.837,97.453,93.972,94.819
676.0,91.012,97.103,93.534,94.901
677.0,90.864,97.205,93.472,94.787
678.0,90.697,97.447,93.58,94.709
679.0,90.844,97.511,93.554,95.171
680.0,90.951,97.674,93.698,95.383
681.0,90.876,97.961,93.827,94.943
682.0,90.915,97.898,93.845,94.878
683.0,90.955,97.485,93.998,95.385
684.0,90.915,97.165,94.139,95.584
685.0,91.065,97.134,94.217,95.376
686.0,91.301,97.477,94.259,95.136
687.0,91.292,97.808,93.905,95.085
688.0,91.219,97.695,93.491,95.391
689.0,91.232,97.573,93.724,95.505
690.0,91.112,97.545,94.139,95.176
691.0,91.056,97.488,94.273,95.048
692.0,91.203,97.807,94.137,95.21
693.0,91.245,98.029,93.715,95.378
694.0,91.203,97.641,93.579,95.38
695.0,91.234,97.327,93.93,95.291
696.0,91.31,97.548,94.148,95.424
697.0,91.388,97.786,94.175,95.437
698.0,91.428,97.556,94.376,95.29
699.0,91.452,97.567,94.464,95.463
700.0,91.403,98.196,94.262,95.531
701.0,91.241,98.551,94.239,95.26
702.0,91.199,98.323,94.451,95.123
703.0,91.45,97.959,94.446,95.198
704.0,91.642,97.926,94.291,95.444
705.0,91.402,98.195,94.415,95.746
706.0,91.071,98.239,94.572,95.887
707.0,91.042,98.06,94.492,95.799
708.0,91.22,98.064,94.305,95.436
709.0,91.49,98.355,94.013,95.196
710.0,91.607,98.36,94.068,95.387
711.0,91.425,97.984,94.478,95.535
712.0,91.405,98.187,94.473,95.423
713.0,91.588,98.731,94.392,95.281
714.0,91.446,98.409,94.606,95.242
715.0,91.177,97.776,94.498,95.343
716.0,91.212,98.01,94.343,95.478
717.0,91.342,98.545,94.483,95.717
718.0,91.393,98.595,94.457,96.004
719.0,91.425,98.384,94.326,95.851
720.0,91.379,98.209,94.2,95.424
721.0,91.302,98.222,94.243,95.377
722.0,91.473,98.053,94.729,95.653
723.0,91.901,97.574,95.203,95.662
724.0,92.191,97.792,95.229,95.386
725.0,92.0,98.597,94.759,95.355
726.0,91.488,98.777,94.328,95.427
727.0,91.35,98.396,94.56,95.338
728.0,91.602,98.098,94.928,95.182
729.0,91.664,98.125,95.021,94.97
730.0,91.673,98.325,95.197,95.227
731.0,91.692,98.302,95.24,95.967
732.0,91.694,98.078,94.997,96.077
733.0,91.883,98.066,94.947,95.458
734.0,91.852,98.429,95.081,95.127
735.0,91.575,98.525,95.145,95.405
736.0,91.7,98.029,95.197,95.842
737.0,92.049,97.768,94.947,95.899
738.0,92.032,97.957,94.441,95.699
739.0,91.845,98.182,94.586,95.703
740.0,91.877,98.541,95.197,95.785
741.0,91.959,98.578,95.347,95.968
742.0,91.983,98.232,95.074,96.177
743.0,92.121,98.483,94.72,96.056
744.0,92.304,98.79,94.77,96.095
745.0,92.234,98.373,95.26,96.291
746.0,92.04,98.051,95.338,95.964
747.0,,,,
748.0,,,,
749.0,,,,
750.0,,,,
