,     Angle,       PSD
321,17.8503,2683
322,17.8904,2683
323,17.9304,2683
324,17.9704,2639
325,18.0105,2639
326,18.0505,2726
327,18.0905,2722
328,18.1306,2603
329,18.1706,2670
330,18.2106,2657
331,18.2507,2704
332,18.2907,2826
333,18.3307,2744
334,18.3708,2701
335,18.4108,2707
336,18.4508,2763
337,18.4909,2746
338,18.5309,2831
339,18.5709,2800
340,18.6109,2799
341,18.651,2890
342,18.691,2788
343,18.731,2821
344,18.7711,2733
345,18.8111,2824
346,18.8511,2889
347,18.8912,2913
348,18.9312,2858
349,18.9712,2904
350,19.0113,2859
351,19.0513,2853
352,19.0913,2889
353,19.1314,2863
354,19.1714,2920
355,19.2114,2946
356,19.2515,2885
357,19.2915,2771
358,19.3315,2935
359,19.3716,2961
360,19.4116,2851
361,19.4516,3001
362,19.4917,2909
363,19.5317,2922
364,19.5717,2957
365,19.6118,2937
366,19.6518,2951
367,19.6918,2949
368,19.7318,2907
369,19.7719,2924
370,19.8119,2940
371,19.8519,2878
372,19.892,3057
373,19.932,3029
374,19.972,3058
375,20.0121,3037
376,20.0521,3002
377,20.0921,2975
378,20.1322,2900
379,20.1722,3017
380,20.2122,2978
381,20.2523,3034
382,20.2923,3069
383,20.3323,3046
384,20.3724,3214
385,20.4124,3015
386,20.4524,2981
387,20.4925,3037
388,20.5325,3056
389,20.5725,2946
390,20.6126,2956
391,20.6526,3088
392,20.6926,3020
393,20.7327,3047
394,20.7727,3006
395,20.8127,3117
396,20.8528,3082
397,20.8928,3061
398,20.9328,3068
399,20.9728,2982
400,21.0129,2971
401,21.0529,3018
402,21.0929,2871
403,21.133,2972
404,21.173,2993
405,21.213,2910
406,21.2531,2882
407,21.2931,2823
408,21.3331,2934
409,21.3732,2899
410,21.4132,2821
411,21.4532,2907
412,21.4933,2861
413,21.5333,2847
414,21.5733,2853
415,21.6134,2785
416,21.6534,2852
417,21.6934,2830
418,21.7335,2825
419,21.7735,2782
420,21.8135,2778
421,21.8536,2740
422,21.8936,2843
423,21.9336,2793
424,21.9737,2674
425,22.0137,2732
426,22.0537,2666
427,22.0937,2716
428,22.1338,2739
429,22.1738,2681
430,22.2138,2705
431,22.2539,2654
432,22.2939,2662
433,22.3339,2615
434,22.374,2572
435,22.414,2627
436,22.454,2597
437,22.4941,2507
438,22.5341,2578
439,22.5741,2492
440,22.6142,2590
441,22.6542,2524
442,22.6942,2463
443,22.7343,2448
444,22.7743,2404
445,22.8143,2484
446,22.8544,2457
447,22.8944,2385
448,22.9344,2400
449,22.9745,2328
450,23.0145,2342
451,23.0545,2260
452,23.0946,2192
453,23.1346,2301
454,23.1746,2360
455,23.2147,2260
456,23.2547,2231
457,23.2947,2194
458,23.3347,2218
459,23.3748,2236
460,23.4148,2148
461,23.4548,2215
462,23.4949,2179
463,23.5349,2151
464,23.5749,2140
465,23.615,2111
466,23.655,2086
467,23.695,2104
468,23.7351,2192
469,23.7751,2042
470,23.8151,2055
471,23.8552,2063
472,23.8952,2037
473,23.9352,2028
474,23.9753,2043
475,24.0153,2113
476,24.0553,2070
477,24.0954,1981
478,24.1354,2041
479,24.1754,1913
480,24.2155,1941
481,24.2555,1987
482,24.2955,1913
483,24.3356,1873
484,24.3756,1954
485,24.4156,1853
486,24.4556,1919
487,24.4957,1909
488,24.5357,1873
489,24.5757,1788
490,24.6158,1929
491,24.6558,1834
492,24.6958,1811
493,24.7359,1837
494,24.7759,1785
495,24.8159,1789
496,24.856,1832
497,24.896,1748
498,24.936,1773
499,24.9761,1730
500,25.0161,1705
501,25.0561,1751
502,25.0962,1698
503,25.1362,1762
504,25.1762,1711
505,25.2163,1660
506,25.2563,1768
507,25.2963,1734
508,25.3364,1694
509,25.3764,1752
510,25.4164,1707
511,25.4565,1770
512,25.4965,1744
513,25.5365,1756
514,25.5766,1731
515,25.6166,1688
516,25.6566,1589
517,25.6966,1610
518,25.7367,1635
519,25.7767,1682
520,25.8167,1630
521,25.8568,1616
522,25.8968,1661
523,25.9368,1692
524,25.9769,1552
525,26.0169,1644
526,26.0569,1611
527,26.097,1587
528,26.137,1573
529,26.177,1594
530,26.2171,1612
531,26.2571,1581
532,26.2971,1606
533,26.3372,1560
534,26.3772,1541
535,26.4172,1576
536,26.4573,1609
537,26.4973,1579
538,26.5373,1578
539,26.5774,1572
540,26.6174,1537
541,26.6574,1564
542,26.6975,1506
543,26.7375,1488
544,26.7775,1517
545,26.8175,1525
546,26.8576,1479
547,26.8976,1468
548,26.9376,1498
549,26.9777,1610
550,27.0177,1474
551,27.0577,1544
552,27.0978,1536
553,27.1378,1448
554,27.1778,1470
555,27.2179,1452
556,27.2579,1364
557,27.2979,1424
558,27.338,1499
559,27.378,1498
560,27.418,1466
561,27.4581,1384
562,27.4981,1454
563,27.5381,1435
564,27.5782,1427
565,27.6182,1405
566,27.6582,1425
567,27.6983,1456
568,27.7383,1464
569,27.7783,1431
570,27.8184,1422
571,27.8584,1392
572,27.8984,1437
573,27.9385,1424
574,27.9785,1430
575,28.0185,1314
576,28.0585,1440
577,28.0986,1409
578,28.1386,1406
579,28.1786,1409
580,28.2187,1370
581,28.2587,1418
582,28.2987,1356
583,28.3388,1362
584,28.3788,1370
585,28.4188,1394
586,28.4589,1360
587,28.4989,1371
588,28.5389,1370
589,28.579,1347
590,28.619,1379
591,28.659,1323
592,28.6991,1369
593,28.7391,1363
594,28.7791,1354
595,28.8192,1363
596,28.8592,1486
597,28.8992,1324
598,28.9393,1350
599,28.9793,1303
600,29.0193,1359
601,29.0594,1369
602,29.0994,1363
603,29.1394,1313
604,29.1794,1323
605,29.2195,1345
606,29.2595,1291
607,29.2995,1311
608,29.3396,1345
609,29.3796,1308
610,29.4196,1256
611,29.4597,1351
612,29.4997,1300
613,29.5397,1268
614,29.5798,1348
615,29.6198,1313
616,29.6598,1214
617,29.6999,1329
618,29.7399,1248
619,29.7799,1297
620,29.82,1268
621,29.86,1241
622,29.9,1304
623,29.9401,1310
624,29.9801,1325
625,30.0201,1281
626,30.0602,1237
627,30.1002,1215
628,30.1402,1233
629,30.1803,1286
630,30.2203,1202
631,30.2603,1293
632,30.3004,1250
633,30.3404,1258
634,30.3804,1232
635,30.4204,1247
636,30.4605,1281
637,30.5005,1282
638,30.5405,1218
639,30.5806,1224
640,30.6206,1241
641,30.6606,1185
642,30.7007,1239
643,30.7407,1221
644,30.7807,1211
645,30.8208,1192
646,30.8608,1202
647,30.9008,1187
648,30.9409,1198
649,30.9809,1195
650,31.0209,1217
651,31.061,1218
652,31.101,1199
653,31.141,1253
654,31.1811,1197
655,31.2211,1120
656,31.2611,1254
657,31.3012,1142
658,31.3412,1150
659,31.3812,1185
660,31.4213,1149
661,31.4613,1145
662,31.5013,1213
663,31.5413,1207
664,31.5814,1191
665,31.6214,1243
666,31.6614,1116
667,31.7015,1142
668,31.7415,1155
669,31.7815,1176
670,31.8216,1195
671,31.8616,1223
672,31.9016,1156
673,31.9417,1151
674,31.9817,1219
675,32.0217,1201
676,32.0618,1166
677,32.1018,1139
678,32.1418,1162
679,32.1819,1184
680,32.2219,1159
681,32.2619,1135
682,32.302,1164
683,32.342,1084
684,32.382,1162
685,32.4221,1148
686,32.4621,1051
687,32.5021,1122
688,32.5422,1160
