nm,15,Mh
335.0,0.512,0.498
335.5,0.512,0.498
336.0,0.512,0.498
336.5,0.512,0.498
337.0,0.512,0.498
337.5,0.511,0.498
338.0,0.511,0.497
338.5,0.51,0.498
339.0,0.51,0.499
339.5,0.509,0.499
340.0,0.507,0.499
340.5,0.506,0.499
341.0,0.51,0.5
341.5,0.516,0.5
342.0,0.521,0.498
342.5,0.52,0.493
343.0,0.517,0.488
343.5,0.513,0.484
344.0,0.51,0.481
344.5,0.511,0.483
345.0,0.513,0.489
345.5,0.514,0.498
346.0,0.51,0.502
346.5,0.503,0.501
347.0,0.499,0.495
347.5,0.502,0.489
348.0,0.509,0.486
348.5,0.517,0.487
349.0,0.524,0.487
349.5,0.527,0.486
350.0,0.528,0.483
350.5,0.527,0.482
351.0,0.525,0.482
351.5,0.524,0.483
352.0,0.523,0.484
352.5,0.522,0.486
353.0,0.521,0.492
353.5,0.521,0.499
354.0,0.52,0.504
354.5,0.515,0.505
355.0,0.509,0.502
355.5,0.503,0.496
356.0,0.502,0.491
356.5,0.506,0.487
357.0,0.51,0.484
357.5,0.512,0.481
358.0,0.511,0.481
358.5,0.51,0.483
359.0,0.512,0.487
359.5,0.514,0.492
360.0,0.514,0.497
360.5,0.511,0.496
361.0,0.507,0.489
361.5,0.502,0.479
362.0,0.498,0.472
362.5,0.496,0.473
363.0,0.495,0.48
363.5,0.494,0.485
364.0,0.495,0.486
364.5,0.498,0.481
365.0,0.504,0.476
365.5,0.512,0.473
366.0,0.515,0.473
366.5,0.511,0.475
367.0,0.506,0.478
367.5,0.506,0.481
368.0,0.512,0.484
368.5,0.517,0.487
369.0,0.513,0.487
369.5,0.5,0.484
370.0,0.486,0.476
370.5,0.481,0.466
371.0,0.484,0.454
371.5,0.487,0.441
372.0,0.484,0.431
372.5,0.475,0.428
373.0,0.468,0.436
373.5,0.468,0.449
374.0,0.474,0.457
374.5,0.479,0.454
375.0,0.48,0.443
375.5,0.478,0.43
376.0,0.472,0.427
376.5,0.466,0.435
377.0,0.462,0.451
377.5,0.46,0.465
378.0,0.459,0.469
378.5,0.455,0.46
379.0,0.449,0.441
379.5,0.443,0.421
380.0,0.442,0.41
380.5,0.441,0.413
381.0,0.437,0.423
381.5,0.427,0.428
382.0,0.419,0.424
382.5,0.419,0.411
383.0,0.426,0.397
383.5,0.436,0.39
384.0,0.439,0.391
384.5,0.431,0.397
385.0,0.418,0.399
385.5,0.406,0.393
386.0,0.4,0.378
