nm,75,15,18,225,grupo,0
200.0,,,,,ACh,
200.5,,,,,ACh,
201.0,,,,,ACh,
201.5,,,,,ACh,
202.0,,,,,ACh,
202.5,,,,,ACh,
203.0,,,,,ACh,
203.5,,,,,ACh,
204.0,,,,,ACh,
204.5,,,,,ACh,
205.0,,,,,ACh,
205.5,,,,,ACh,
206.0,,,,,ACh,
206.5,,,,,ACh,
207.0,,,,,ACh,
207.5,,,,,ACh,
208.0,,,,,ACh,
208.5,,,,,ACh,
209.0,,,,,ACh,
209.5,1.165,,,,ACh,
210.0,1.115,,,,ACh,
210.5,1.078,,,,ACh,
211.0,1.046,,,,ACh,
211.5,1.014,,,,ACh,
212.0,0.98,,,,ACh,
212.5,0.949,,,,ACh,
213.0,0.922,,,,ACh,
213.5,0.896,,,,ACh,
214.0,0.87,,,,ACh,
214.5,0.846,,1.23,,ACh,
215.0,0.823,,1.189,,ACh,
215.5,0.802,1.808,1.152,,ACh,
216.0,0.782,1.748,1.118,,ACh,
216.5,0.764,1.691,1.086,,ACh,
217.0,0.745,1.636,1.057,,ACh,
217.5,0.727,1.587,1.03,,ACh,
218.0,0.709,1.543,1.004,,ACh,
218.5,0.692,1.505,0.978,,ACh,
219.0,0.677,1.467,0.952,,ACh,
219.5,0.662,1.43,0.928,,ACh,
220.0,0.647,1.392,0.905,,ACh,
220.5,0.632,1.355,0.884,,ACh,
221.0,0.617,1.319,0.864,,ACh,
221.5,0.603,1.285,0.844,,ACh,
222.0,0.589,1.254,0.824,,ACh,
222.5,0.576,1.225,0.804,,ACh,
223.0,0.563,1.196,0.786,1.429,ACh,
223.5,0.551,1.169,0.768,1.391,ACh,
224.0,0.539,1.144,0.751,1.357,ACh,
224.5,0.528,1.119,0.735,1.326,ACh,
225.0,0.518,1.095,0.72,1.297,ACh,
225.5,0.508,1.073,0.707,1.271,ACh,
226.0,0.499,1.053,0.694,1.246,ACh,
226.5,0.491,1.035,0.683,1.224,ACh,
227.0,0.483,1.018,0.671,1.202,ACh,
227.5,0.476,1.003,0.661,1.182,ACh,
