,     Angle,       PSD
321,17.8503,1379
322,17.8904,1421
323,17.9304,1350
324,17.9704,1410
325,18.0105,1351
326,18.0505,1341
327,18.0905,1354
328,18.1306,1284
329,18.1706,1223
330,18.2106,1310
331,18.2507,1280
332,18.2907,1275
333,18.3307,1258
334,18.3708,1301
335,18.4108,1301
336,18.4508,1277
337,18.4909,1336
338,18.5309,1314
339,18.5709,1332
340,18.6109,1253
341,18.651,1236
342,18.691,1222
343,18.731,1331
344,18.7711,1206
345,18.8111,1261
346,18.8511,1285
347,18.8912,1247
348,18.9312,1335
349,18.9712,1310
350,19.0113,1248
351,19.0513,1253
352,19.0913,1251
353,19.1314,1312
354,19.1714,1285
355,19.2114,1290
356,19.2515,1281
357,19.2915,1309
358,19.3315,1237
359,19.3716,1308
360,19.4116,1253
361,19.4516,1258
362,19.4917,1328
363,19.5317,1351
364,19.5717,1344
365,19.6118,1425
366,19.6518,1510
367,19.6918,1578
368,19.7318,1650
369,19.7719,1728
370,19.8119,1639
371,19.8519,1595
372,19.892,1440
373,19.932,1372
374,19.972,1452
375,20.0121,1428
376,20.0521,1442
377,20.0921,1410
378,20.1322,1405
379,20.1722,1440
380,20.2122,1479
381,20.2523,1550
382,20.2923,1577
383,20.3323,1593
384,20.3724,1566
385,20.4124,1743
386,20.4524,1942
387,20.4925,2129
388,20.5325,2320
389,20.5725,2547
390,20.6126,2633
391,20.6526,2464
392,20.6926,2149
393,20.7327,1935
394,20.7727,1897
395,20.8127,2067
396,20.8528,2386
397,20.8928,3050
398,20.9328,3567
399,20.9728,4014
400,21.0129,3979
401,21.0529,3113
402,21.0929,2438
403,21.133,2065
404,21.173,1871
405,21.213,1964
406,21.2531,1874
407,21.2931,2019
408,21.3331,1989
409,21.3732,1939
410,21.4132,2169
411,21.4532,2222
412,21.4933,2402
413,21.5333,2577
414,21.5733,2678
415,21.6134,2610
416,21.6534,2516
417,21.6934,2611
418,21.7335,2562
419,21.7735,2606
420,21.8135,2757
421,21.8536,2894
422,21.8936,3038
423,21.9336,3060
424,21.9737,3121
425,22.0137,2918
426,22.0537,2946
427,22.0937,2899
428,22.1338,3073
429,22.1738,2896
430,22.2138,3072
431,22.2539,3159
432,22.2939,3212
433,22.3339,3282
434,22.374,3305
435,22.414,3363
436,22.454,3403
437,22.4941,3425
438,22.5341,3388
439,22.5741,3485
440,22.6142,3438
441,22.6542,3454
442,22.6942,3568
443,22.7343,3461
444,22.7743,3338
445,22.8143,3286
446,22.8544,3358
447,22.8944,3227
448,22.9344,3149
449,22.9745,3062
450,23.0145,2926
451,23.0545,2872
452,23.0946,2832
453,23.1346,2785
454,23.1746,2619
455,23.2147,2541
456,23.2547,2589
