nm,AChMN,AChMN05,AChMN20,AChMN50
250.0,0.692,0.332,0.459,0.795
250.5,0.69,0.331,0.458,0.796
251.0,0.689,0.331,0.457,0.797
251.5,0.687,0.33,0.456,0.799
252.0,0.686,0.329,0.455,0.8
252.5,0.685,0.329,0.454,0.802
253.0,0.684,0.329,0.454,0.803
253.5,0.683,0.329,0.454,0.805
254.0,0.682,0.329,0.454,0.807
254.5,0.682,0.329,0.454,0.81
255.0,0.682,0.33,0.454,0.813
255.5,0.682,0.331,0.455,0.816
256.0,0.682,0.331,0.455,0.819
256.5,0.684,0.332,0.456,0.822
257.0,0.685,0.332,0.457,0.826
257.5,0.687,0.332,0.458,0.83
258.0,0.689,0.333,0.459,0.833
258.5,0.69,0.334,0.46,0.837
259.0,0.692,0.335,0.462,0.839
259.5,0.693,0.336,0.463,0.842
260.0,0.695,0.337,0.465,0.844
260.5,0.697,0.338,0.466,0.848
261.0,0.7,0.34,0.469,0.852
261.5,0.704,0.341,0.471,0.856
262.0,0.709,0.344,0.474,0.859
262.5,0.714,0.346,0.477,0.863
263.0,0.719,0.349,0.48,0.867
263.5,0.724,0.351,0.482,0.87
264.0,0.728,0.353,0.485,0.873
264.5,0.733,0.354,0.488,0.876
265.0,0.736,0.356,0.491,0.877
265.5,0.74,0.357,0.493,0.878
266.0,0.742,0.359,0.495,0.878
266.5,0.745,0.36,0.496,0.878
267.0,0.747,0.361,0.497,0.877
267.5,0.75,0.362,0.499,0.875
268.0,0.754,0.364,0.5,0.874
268.5,0.758,0.366,0.502,0.874
269.0,0.762,0.367,0.505,0.874
269.5,0.765,0.368,0.507,0.874
270.0,0.769,0.37,0.509,0.874
270.5,0.773,0.371,0.512,0.874
271.0,0.777,0.373,0.514,0.874
271.5,0.78,0.375,0.516,0.873
272.0,0.783,0.376,0.517,0.871
272.5,0.786,0.376,0.519,0.868
273.0,0.788,0.376,0.52,0.864
273.5,0.79,0.376,0.52,0.859
274.0,0.792,0.375,0.52,0.854
274.5,0.792,0.376,0.52,0.849
275.0,0.792,0.376,0.521,0.844
275.5,0.791,0.376,0.521,0.838
276.0,0.791,0.376,0.52,0.832
276.5,0.792,0.375,0.519,0.827
277.0,0.792,0.375,0.519,0.822
277.5,0.792,0.374,0.518,0.817
278.0,0.792,0.373,0.518,0.811
278.5,0.792,0.372,0.517,0.805
279.0,0.792,0.371,0.516,0.799
279.5,0.791,0.371,0.515,0.794
280.0,0.79,0.37,0.514,0.788
280.5,0.788,0.37,0.512,0.782
281.0,0.785,0.368,0.511,0.776
281.5,0.783,0.367,0.51,0.77
282.0,0.78,0.364,0.508,0.763
282.5,0.777,0.362,0.506,0.756
283.0,0.773,0.361,0.503,0.749
283.5,0.769,0.36,0.5,0.742
284.0,0.765,0.358,0.498,0.734
284.5,0.761,0.356,0.495,0.727
285.0,0.756,0.354,0.492,0.719
285.5,0.752,0.351,0.489,0.712
286.0,0.746,0.348,0.486,0.705
286.5,0.741,0.345,0.482,0.698
287.0,0.736,0.343,0.479,0.69
287.5,0.731,0.34,0.475,0.683
288.0,0.725,0.338,0.471,0.675
288.5,0.72,0.335,0.468,0.667
289.0,0.714,0.332,0.464,0.66
289.5,0.709,0.329,0.46,0.653
290.0,0.703,0.326,0.457,0.646
290.5,0.697,0.324,0.453,0.639
291.0,0.692,0.321,0.449,0.633
291.5,0.687,0.319,0.445,0.627
292.0,0.682,0.317,0.442,0.621
292.5,0.677,0.315,0.438,0.615
293.0,0.673,0.313,0.435,0.61
293.5,0.668,0.311,0.432,0.606
294.0,0.664,0.31,0.43,0.603
294.5,0.66,0.308,0.428,0.6
295.0,0.656,0.307,0.426,0.597
295.5,0.652,0.305,0.423,0.593
296.0,0.648,0.303,0.42,0.59
296.5,0.644,0.302,0.417,0.587
297.0,0.641,0.301,0.415,0.585
297.5,0.638,0.299,0.413,0.584
298.0,0.635,0.297,0.412,0.582
298.5,0.632,0.295,0.412,0.579
299.0,0.63,0.293,0.411,0.577
299.5,0.627,0.293,0.41,0.574
300.0,0.624,0.293,0.408,0.572
300.5,0.621,0.292,0.406,0.57
301.0,0.62,0.292,0.404,0.569
301.5,0.619,0.291,0.402,0.568
302.0,0.618,0.29,0.4,0.568
302.5,0.617,0.289,0.399,0.567
303.0,0.616,0.288,0.399,0.565
303.5,0.615,0.288,0.398,0.563
304.0,0.614,0.288,0.397,0.562
304.5,0.612,0.287,0.396,0.561
305.0,0.61,0.286,0.395,0.561
305.5,0.608,0.285,0.395,0.561
306.0,0.607,0.285,0.395,0.561
306.5,0.607,0.285,0.394,0.561
307.0,0.607,0.285,0.393,0.561
307.5,0.607,0.284,0.393,0.56
308.0,0.607,0.284,0.392,0.558
308.5,0.606,0.284,0.393,0.556
309.0,0.605,0.284,0.393,0.554
309.5,0.605,0.285,0.392,0.552
310.0,0.605,0.285,0.393,0.551
310.5,0.605,0.284,0.393,0.549
311.0,0.606,0.283,0.394,0.548
311.5,0.606,0.283,0.395,0.546
312.0,0.607,0.283,0.395,0.545
312.5,0.608,0.284,0.394,0.545
313.0,0.61,0.285,0.394,0.544
313.5,0.612,0.286,0.394,0.544
314.0,0.613,0.285,0.394,0.544
314.5,0.614,0.285,0.395,0.543
315.0,0.614,0.285,0.395,0.543
315.5,0.614,0.285,0.395,0.542
316.0,0.614,0.287,0.396,0.542
316.5,0.615,0.288,0.396,0.541
317.0,0.617,0.29,0.397,0.541
