nm,AChMG20,AChMG05,AChMG,AChMG50
285.0,0.436,0.303,0.535,0.817
285.5,0.433,0.3,0.531,0.81
286.0,0.43,0.297,0.527,0.804
286.5,0.426,0.294,0.522,0.798
287.0,0.423,0.291,0.518,0.791
287.5,0.419,0.289,0.514,0.785
288.0,0.415,0.286,0.511,0.778
288.5,0.412,0.284,0.507,0.772
289.0,0.409,0.282,0.503,0.765
289.5,0.406,0.279,0.499,0.758
290.0,0.404,0.277,0.494,0.751
290.5,0.401,0.275,0.49,0.745
291.0,0.397,0.272,0.486,0.738
291.5,0.395,0.269,0.482,0.732
292.0,0.393,0.266,0.478,0.726
292.5,0.39,0.264,0.474,0.721
293.0,0.387,0.262,0.471,0.716
293.5,0.384,0.261,0.467,0.711
294.0,0.38,0.259,0.464,0.705
294.5,0.378,0.258,0.462,0.7
295.0,0.376,0.256,0.459,0.695
295.5,0.376,0.254,0.455,0.691
296.0,0.374,0.252,0.453,0.687
296.5,0.372,0.25,0.451,0.684
297.0,0.37,0.249,0.449,0.681
297.5,0.368,0.248,0.447,0.678
298.0,0.367,0.247,0.444,0.675
298.5,0.365,0.246,0.442,0.672
299.0,0.363,0.246,0.439,0.669
299.5,0.361,0.245,0.437,0.665
300.0,0.36,0.244,0.436,0.662
300.5,0.36,0.243,0.434,0.66
301.0,0.359,0.243,0.433,0.658
301.5,0.358,0.243,0.432,0.656
302.0,0.357,0.242,0.429,0.655
302.5,0.356,0.24,0.428,0.653
303.0,0.355,0.238,0.427,0.651
303.5,0.355,0.237,0.426,0.648
304.0,0.354,0.235,0.426,0.646
304.5,0.353,0.235,0.426,0.645
305.0,0.353,0.235,0.425,0.645
305.5,0.353,0.235,0.424,0.644
306.0,0.353,0.235,0.424,0.644
306.5,0.353,0.235,0.423,0.643
307.0,0.354,0.235,0.422,0.642
307.5,0.354,0.235,0.422,0.641
308.0,0.355,0.235,0.421,0.64
308.5,0.356,0.235,0.421,0.64
309.0,0.356,0.234,0.421,0.641
309.5,0.356,0.234,0.421,0.641
310.0,0.356,0.233,0.421,0.641
310.5,0.355,0.233,0.421,0.641
311.0,0.355,0.234,0.421,0.641
311.5,0.355,0.234,0.421,0.641
312.0,0.355,0.234,0.422,0.642
312.5,0.356,0.234,0.423,0.642
313.0,0.358,0.234,0.424,0.642
313.5,0.359,0.234,0.425,0.642
314.0,0.359,0.234,0.425,0.642
314.5,0.358,0.235,0.426,0.642
315.0,0.357,0.235,0.426,0.642
315.5,0.357,0.235,0.425,0.642
316.0,0.358,0.235,0.425,0.642
316.5,0.36,0.235,0.425,0.643
317.0,0.361,0.235,0.425,0.644
317.5,0.362,0.237,0.426,0.646
318.0,0.362,0.238,0.426,0.647
318.5,0.362,0.238,0.427,0.648
319.0,0.362,0.237,0.426,0.647
319.5,0.362,0.235,0.426,0.646
320.0,0.363,0.234,0.425,0.645
320.5,0.363,0.233,0.425,0.644
321.0,0.363,0.233,0.425,0.642
321.5,0.363,0.234,0.425,0.641
322.0,0.362,0.235,0.425,0.641
322.5,0.362,0.236,0.424,0.641
323.0,0.362,0.236,0.423,0.641
323.5,0.361,0.235,0.422,0.641
324.0,0.36,0.234,0.421,0.638
324.5,0.359,0.233,0.419,0.636
325.0,0.358,0.231,0.417,0.633
325.5,0.357,0.229,0.415,0.631
326.0,0.356,0.228,0.412,0.628
326.5,0.354,0.227,0.409,0.625
