nm,TChMG20,TChMG05,TChMG50,TChMG
551.0,83.91,95.42,91.198,87.319
552.0,83.93,95.164,90.761,87.137
553.0,84.354,95.012,90.499,87.386
554.0,84.435,94.862,91.18,87.899
555.0,84.184,95.01,91.803,88.058
556.0,84.166,95.476,91.719,87.976
557.0,84.59,95.462,91.481,87.845
558.0,84.893,95.068,91.798,87.914
559.0,85.099,95.431,92.238,88.08
560.0,85.176,96.219,91.973,87.889
561.0,84.344,96.273,91.749,87.812
562.0,83.669,95.797,92.089,88.322
563.0,84.333,95.437,92.239,88.735
564.0,85.238,95.519,91.972,88.61
565.0,85.489,96.061,91.767,88.296
566.0,85.578,96.418,92.398,88.109
567.0,85.977,96.32,93.549,88.172
568.0,85.912,96.166,93.786,88.119
569.0,84.898,96.028,93.167,87.569
570.0,84.082,95.555,92.43,87.489
571.0,84.171,94.956,91.433,88.392
572.0,84.921,95.022,90.657,88.774
573.0,85.779,95.812,91.072,88.558
574.0,85.626,96.834,92.179,88.692
575.0,84.839,97.334,92.633,88.525
576.0,84.996,96.747,92.501,88.161
577.0,85.555,95.935,92.538,88.35
578.0,85.605,95.789,92.344,89.031
579.0,85.919,96.213,91.869,89.764
580.0,86.6,96.936,92.037,89.925
581.0,86.802,97.275,92.649,89.644
582.0,86.52,97.096,92.757,89.612
583.0,86.519,97.07,92.411,89.759
584.0,86.973,97.087,92.281,89.646
585.0,87.12,97.052,92.502,89.689
586.0,86.808,97.271,92.657,90.02
587.0,86.787,97.403,92.547,90.047
588.0,87.095,97.177,92.444,89.994
589.0,87.143,97.004,92.702,90.051
590.0,86.933,97.193,93.029,90.074
591.0,86.934,97.357,93.04,90.195
592.0,87.249,97.119,93.026,90.163
593.0,87.572,96.949,92.828,90.043
594.0,87.662,97.246,92.263,90.128
595.0,87.598,97.572,92.232,90.081
596.0,87.459,97.594,92.925,89.941
597.0,87.2,97.5,93.309,90.113
598.0,87.146,97.581,93.203,90.346
599.0,87.373,97.923,93.135,90.272
