nm,A_7_5g,A_15g,A_18g,A_22_5g
310.0,0.553,1.121,1.075,1.68
310.5,0.554,1.122,1.075,1.686
311.0,0.554,1.124,1.076,1.696
311.5,0.554,1.125,1.078,1.705
312.0,0.553,1.127,1.078,1.71
312.5,0.553,1.128,1.079,1.713
313.0,0.554,1.13,1.08,1.715
313.5,0.555,1.131,1.082,1.717
314.0,0.557,1.132,1.084,1.717
314.5,0.557,1.133,1.086,1.718
315.0,0.558,1.134,1.087,1.72
315.5,0.558,1.136,1.088,1.724
316.0,0.559,1.139,1.091,1.728
316.5,0.56,1.141,1.095,1.731
317.0,0.559,1.142,1.097,1.735
317.5,0.559,1.144,1.097,1.737
318.0,0.56,1.146,1.096,1.737
318.5,0.562,1.148,1.096,1.735
319.0,0.563,1.15,1.098,1.731
319.5,0.563,1.15,1.101,1.729
320.0,0.563,1.149,1.101,1.729
320.5,0.563,1.148,1.101,1.731
321.0,0.564,1.149,1.099,1.732
321.5,0.565,1.15,1.098,1.734
322.0,0.566,1.15,1.098,1.737
322.5,0.567,1.149,1.098,1.738
323.0,0.566,1.149,1.1,1.736
323.5,0.565,1.15,1.1,1.728
324.0,0.565,1.15,1.1,1.719
324.5,0.564,1.149,1.098,1.714
325.0,0.563,1.145,1.094,1.713
325.5,0.561,1.14,1.09,1.711
326.0,0.558,1.134,1.085,1.705
326.5,0.555,1.129,1.08,1.694
327.0,0.553,1.124,1.075,1.682
327.5,0.552,1.119,1.07,1.67
328.0,0.55,1.115,1.065,1.66
328.5,0.548,1.109,1.059,1.652
329.0,0.544,1.102,1.053,1.648
329.5,0.54,1.094,1.046,1.644
330.0,0.536,1.086,1.04,1.637
330.5,0.534,1.079,1.036,1.622
331.0,0.532,1.072,1.032,1.602
331.5,0.53,1.065,1.026,1.583
332.0,0.528,1.056,1.019,1.57
332.5,0.524,1.047,1.009,1.56
333.0,0.52,1.039,0.998,1.549
333.5,0.516,1.03,0.988,1.536
334.0,0.512,1.022,0.978,1.525
334.5,0.508,1.014,0.97,1.512
335.0,0.503,1.004,0.961,1.498
335.5,0.499,0.993,0.952,1.481
336.0,0.493,0.981,0.941,1.463
336.5,0.488,0.968,0.928,1.445
337.0,0.481,0.954,0.914,1.427
337.5,0.475,0.94,0.901,1.408
338.0,0.47,0.926,0.889,1.389
338.5,0.465,0.913,0.88,1.371
339.0,0.46,0.901,0.871,1.353
339.5,0.455,0.89,0.858,1.331
340.0,0.45,0.879,0.842,1.303
340.5,0.445,0.867,0.826,1.273
341.0,0.44,0.851,0.811,1.245
341.5,0.433,0.832,0.797,1.22
342.0,0.422,0.813,0.782,1.197
342.5,0.411,0.797,0.767,1.177
343.0,0.403,0.784,0.755,1.162
343.5,0.4,0.773,0.747,1.151
344.0,0.4,0.762,0.741,1.137
344.5,0.399,0.754,0.734,1.116
345.0,0.398,0.748,0.723,1.092
345.5,0.395,0.742,0.709,1.076
346.0,0.393,0.735,0.696,1.067
346.5,0.391,0.725,0.687,1.06
347.0,0.388,0.714,0.681,1.046
347.5,0.382,0.698,0.671,1.022
348.0,0.371,0.679,0.657,0.993
348.5,0.356,0.659,0.641,0.965
349.0,0.345,0.644,0.626,0.941
349.5,0.339,0.633,0.615,0.921
350.0,0.34,0.624,0.606,0.907
350.5,0.342,0.616,0.6,0.898
351.0,0.342,0.607,0.595,0.891
351.5,0.337,0.599,0.588,0.883
352.0,0.329,0.592,0.58,0.871
352.5,0.319,0.584,0.573,0.856
353.0,0.311,0.574,0.565,0.839
353.5,0.304,0.563,0.555,0.819
354.0,0.298,0.551,0.542,0.798
354.5,0.292,0.541,0.528,0.777
355.0,0.29,0.532,0.516,0.76
355.5,0.29,0.523,0.508,0.751
356.0,0.289,0.515,0.502,0.745
356.5,0.286,0.508,0.497,0.738
357.0,0.28,0.5,0.49,0.727
357.5,0.274,0.489,0.48,0.713
358.0,0.27,0.479,0.47,0.7
358.5,0.267,0.471,0.462,0.689
359.0,0.264,0.463,0.456,0.677
359.5,0.261,0.454,0.45,0.664
360.0,0.259,0.447,0.444,0.653
360.5,0.258,0.442,0.437,0.644
361.0,0.256,0.438,0.43,0.636
361.5,0.253,0.432,0.421,0.624
362.0,0.249,0.421,0.411,0.609
362.5,0.244,0.411,0.403,0.593
363.0,0.24,0.406,0.401,0.582
363.5,0.237,0.404,0.402,0.577
364.0,0.232,0.401,0.401,0.572
364.5,0.225,0.392,0.392,0.564
365.0,0.218,0.381,0.38,0.554
365.5,0.217,0.372,0.372,0.548
366.0,0.221,0.37,0.369,0.548
366.5,0.229,0.373,0.371,0.549
367.0,0.235,0.374,0.371,0.543
367.5,0.234,0.37,0.367,0.53
368.0,0.228,0.361,0.357,0.518
368.5,0.221,0.353,0.347,0.512
369.0,0.217,0.35,0.342,0.515
369.5,0.216,0.351,0.343,0.52
370.0,0.217,0.35,0.346,0.52
370.5,0.215,0.344,0.346,0.511
371.0,0.211,0.334,0.338,0.496
371.5,0.207,0.324,0.325,0.48
372.0,0.201,0.316,0.312,0.466
372.5,0.196,0.311,0.305,0.458
373.0,0.192,0.31,0.308,0.459
373.5,0.191,0.316,0.315,0.467
374.0,0.188,0.322,0.32,0.478
374.5,0.185,0.321,0.319,0.483
375.0,0.184,0.309,0.316,0.479
375.5,0.188,0.292,0.314,0.468
376.0,0.19,0.276,0.309,0.454
376.5,0.186,0.266,0.298,0.442
377.0,0.178,0.264,0.283,0.433
377.5,0.168,0.268,0.269,0.427
378.0,0.161,0.273,0.262,0.423
378.5,0.161,0.278,0.266,0.421
379.0,0.165,0.281,0.275,0.421
379.5,0.17,0.283,0.282,0.419
380.0,0.171,0.285,0.281,0.414
380.5,0.17,0.285,0.278,0.405
381.0,0.171,0.283,0.276,0.397
381.5,0.175,0.279,0.275,0.394
382.0,0.179,0.276,0.27,0.398
382.5,0.178,0.272,0.259,0.403
383.0,0.171,0.267,0.244,0.402
383.5,0.16,0.26,0.231,0.392
384.0,0.15,0.251,0.223,0.379
384.5,0.145,0.244,0.221,0.368
385.0,0.147,0.238,0.224,0.361
385.5,0.153,0.233,0.232,0.358
386.0,0.157,0.23,0.24,0.358
386.5,0.157,0.227,0.243,0.359
387.0,0.152,0.227,0.239,0.359
387.5,0.147,0.228,0.234,0.356
388.0,0.146,0.232,0.235,0.35
388.5,0.146,0.235,0.241,0.343
389.0,0.144,0.234,0.242,0.336
389.5,0.142,0.227,0.233,0.334
390.0,0.14,0.22,0.22,0.34
390.5,0.142,0.219,0.213,0.352
391.0,0.145,0.223,0.217,0.363
391.5,0.148,0.225,0.227,0.365
392.0,0.149,0.221,0.233,0.358
