,     Angle,       PSD
321,17.8503,2749
322,17.8904,2804
323,17.9304,2833
324,17.9704,2823
325,18.0105,2889
326,18.0505,2780
327,18.0905,2873
328,18.1306,2828
329,18.1706,2780
330,18.2106,2861
331,18.2507,2788
332,18.2907,2907
333,18.3307,2981
334,18.3708,2823
335,18.4108,2748
336,18.4508,2870
337,18.4909,2874
338,18.5309,2872
339,18.5709,2816
340,18.6109,2893
341,18.651,2935
342,18.691,2940
343,18.731,3016
344,18.7711,3084
345,18.8111,2937
346,18.8511,2993
347,18.8912,2954
348,18.9312,3036
349,18.9712,3017
350,19.0113,3003
351,19.0513,3021
352,19.0913,3026
353,19.1314,2999
354,19.1714,2978
355,19.2114,3010
356,19.2515,2932
357,19.2915,3002
358,19.3315,3015
359,19.3716,2973
360,19.4116,3041
361,19.4516,3073
362,19.4917,3100
363,19.5317,3112
364,19.5717,3028
365,19.6118,3130
366,19.6518,3074
367,19.6918,3048
368,19.7318,3058
369,19.7719,3111
370,19.8119,3081
371,19.8519,3160
372,19.892,3074
373,19.932,3185
374,19.972,3207
375,20.0121,3112
376,20.0521,3169
377,20.0921,3214
378,20.1322,3162
379,20.1722,3104
380,20.2122,3110
381,20.2523,3224
382,20.2923,3105
383,20.3323,3216
384,20.3724,3151
385,20.4124,3128
386,20.4524,3071
387,20.4925,3076
388,20.5325,3195
389,20.5725,3106
390,20.6126,3077
391,20.6526,3125
392,20.6926,3102
393,20.7327,3162
394,20.7727,3102
395,20.8127,3146
396,20.8528,3117
397,20.8928,3093
398,20.9328,3088
399,20.9728,3111
400,21.0129,3157
401,21.0529,3028
402,21.0929,3054
403,21.133,2996
404,21.173,2952
405,21.213,3020
406,21.2531,3055
407,21.2931,2986
408,21.3331,2914
409,21.3732,3010
410,21.4132,2912
411,21.4532,2884
412,21.4933,2957
413,21.5333,2999
414,21.5733,2977
415,21.6134,2953
416,21.6534,2928
417,21.6934,2824
418,21.7335,2899
419,21.7735,2806
420,21.8135,2802
421,21.8536,2898
422,21.8936,2924
423,21.9336,2782
424,21.9737,2842
425,22.0137,2749
426,22.0537,2749
427,22.0937,2729
428,22.1338,2791
429,22.1738,2667
430,22.2138,2731
431,22.2539,2715
432,22.2939,2634
433,22.3339,2650
434,22.374,2631
435,22.414,2680
436,22.454,2610
437,22.4941,2585
438,22.5341,2601
439,22.5741,2519
440,22.6142,2513
441,22.6542,2511
442,22.6942,2455
443,22.7343,2501
444,22.7743,2420
445,22.8143,2437
446,22.8544,2463
447,22.8944,2370
448,22.9344,2330
449,22.9745,2376
450,23.0145,2363
451,23.0545,2280
452,23.0946,2401
453,23.1346,2299
454,23.1746,2246
455,23.2147,2200
456,23.2547,2189
457,23.2947,2201
458,23.3347,2284
459,23.3748,2211
460,23.4148,2267
461,23.4548,2163
462,23.4949,2104
463,23.5349,2110
464,23.5749,2213
465,23.615,2180
466,23.655,2138
467,23.695,2071
468,23.7351,2013
469,23.7751,2050
470,23.8151,1970
471,23.8552,2057
472,23.8952,1921
473,23.9352,2094
474,23.9753,1961
475,24.0153,1914
476,24.0553,1961
477,24.0954,1953
478,24.1354,1913
479,24.1754,1934
480,24.2155,1973
481,24.2555,1925
