,     Angle,       PSD
321,17.8503,2584
322,17.8904,2563
323,17.9304,2635
324,17.9704,2601
325,18.0105,2593
326,18.0505,2616
327,18.0905,2547
328,18.1306,2666
329,18.1706,2625
330,18.2106,2589
331,18.2507,2695
332,18.2907,2641
333,18.3307,2679
334,18.3708,2711
335,18.4108,2775
336,18.4508,2689
337,18.4909,2676
338,18.5309,2688
339,18.5709,2767
340,18.6109,2749
341,18.651,2856
342,18.691,2760
343,18.731,2749
344,18.7711,2727
345,18.8111,2756
346,18.8511,2819
347,18.8912,2786
348,18.9312,2763
349,18.9712,2836
350,19.0113,2768
351,19.0513,2698
352,19.0913,2825
353,19.1314,2771
354,19.1714,2835
355,19.2114,2698
356,19.2515,2797
357,19.2915,2776
358,19.3315,2822
359,19.3716,2831
360,19.4116,2903
361,19.4516,2749
362,19.4917,2843
363,19.5317,2881
364,19.5717,2918
365,19.6118,2773
366,19.6518,2933
367,19.6918,2986
368,19.7318,2924
369,19.7719,2949
370,19.8119,2914
371,19.8519,2919
372,19.892,3021
373,19.932,2993
374,19.972,2977
375,20.0121,2956
376,20.0521,2938
377,20.0921,2974
378,20.1322,2949
379,20.1722,2961
380,20.2122,2951
381,20.2523,2992
382,20.2923,3037
383,20.3323,2987
384,20.3724,2977
385,20.4124,2913
386,20.4524,2857
387,20.4925,2986
388,20.5325,2912
389,20.5725,2970
390,20.6126,2796
391,20.6526,2926
392,20.6926,2840
393,20.7327,2921
394,20.7727,2958
395,20.8127,2909
396,20.8528,2936
397,20.8928,2918
398,20.9328,2941
399,20.9728,2843
400,21.0129,2815
401,21.0529,2872
402,21.0929,2900
403,21.133,2875
404,21.173,2881
405,21.213,2823
406,21.2531,2743
407,21.2931,2696
408,21.3331,2805
409,21.3732,2800
410,21.4132,2798
411,21.4532,2830
412,21.4933,2683
413,21.5333,2668
414,21.5733,2733
415,21.6134,2811
416,21.6534,2651
417,21.6934,2692
418,21.7335,2683
419,21.7735,2693
420,21.8135,2665
421,21.8536,2578
422,21.8936,2620
423,21.9336,2659
424,21.9737,2520
425,22.0137,2554
426,22.0537,2546
427,22.0937,2532
428,22.1338,2518
429,22.1738,2597
430,22.2138,2506
431,22.2539,2433
432,22.2939,2451
433,22.3339,2526
434,22.374,2436
435,22.414,2523
436,22.454,2354
437,22.4941,2341
438,22.5341,2407
439,22.5741,2315
440,22.6142,2324
441,22.6542,2325
442,22.6942,2334
443,22.7343,2288
444,22.7743,2258
445,22.8143,2299
446,22.8544,2279
447,22.8944,2271
448,22.9344,2127
449,22.9745,2230
450,23.0145,2226
451,23.0545,2141
452,23.0946,2163
453,23.1346,2098
454,23.1746,2118
455,23.2147,2129
456,23.2547,2077
457,23.2947,2071
458,23.3347,2050
459,23.3748,2130
460,23.4148,1991
461,23.4548,2014
462,23.4949,1989
463,23.5349,1937
464,23.5749,1992
465,23.615,2000
466,23.655,2010
467,23.695,1947
468,23.7351,1948
469,23.7751,1912
470,23.8151,1865
471,23.8552,1863
472,23.8952,1933
473,23.9352,1873
474,23.9753,1862
475,24.0153,1768
476,24.0553,1877
477,24.0954,1826
478,24.1354,1810
479,24.1754,1721
480,24.2155,1796
481,24.2555,1744
482,24.2955,1807
483,24.3356,1754
484,24.3756,1818
485,24.4156,1667
486,24.4556,1709
487,24.4957,1646
488,24.5357,1710
489,24.5757,1750
490,24.6158,1686
491,24.6558,1770
492,24.6958,1674
493,24.7359,1683
494,24.7759,1695
495,24.8159,1644
496,24.856,1553
497,24.896,1675
498,24.936,1700
499,24.9761,1636
500,25.0161,1633
501,25.0561,1625
502,25.0962,1606
503,25.1362,1612
504,25.1762,1618
505,25.2163,1541
506,25.2563,1625
507,25.2963,1504
508,25.3364,1627
509,25.3764,1579
510,25.4164,1570
511,25.4565,1551
512,25.4965,1598
513,25.5365,1495
514,25.5766,1521
515,25.6166,1469
516,25.6566,1537
517,25.6966,1444
518,25.7367,1533
519,25.7767,1460
520,25.8167,1406
521,25.8568,1458
522,25.8968,1452
523,25.9368,1506
524,25.9769,1475
525,26.0169,1483
526,26.0569,1435
527,26.097,1521
528,26.137,1428
529,26.177,1440
530,26.2171,1499
531,26.2571,1434
532,26.2971,1412
533,26.3372,1447
534,26.3772,1414
535,26.4172,1504
536,26.4573,1385
537,26.4973,1526
538,26.5373,1376
539,26.5774,1365
540,26.6174,1447
541,26.6574,1424
542,26.6975,1356
543,26.7375,1393
544,26.7775,1437
545,26.8175,1415
546,26.8576,1333
547,26.8976,1346
548,26.9376,1396
549,26.9777,1413
550,27.0177,1381
551,27.0577,1321
552,27.0978,1372
553,27.1378,1354
554,27.1778,1368
555,27.2179,1266
556,27.2579,1394
557,27.2979,1320
558,27.338,1359
559,27.378,1307
560,27.418,1354
561,27.4581,1352
562,27.4981,1287
563,27.5381,1298
564,27.5782,1294
565,27.6182,1327
566,27.6582,1329
567,27.6983,1283
568,27.7383,1266
569,27.7783,1229
570,27.8184,1265
571,27.8584,1302
572,27.8984,1287
573,27.9385,1280
574,27.9785,1301
575,28.0185,1252
576,28.0585,1258
577,28.0986,1301
578,28.1386,1308
579,28.1786,1271
580,28.2187,1203
581,28.2587,1258
582,28.2987,1242
583,28.3388,1310
584,28.3788,1242
585,28.4188,1277
586,28.4589,1275
587,28.4989,1264
588,28.5389,1294
589,28.579,1250
590,28.619,1302
591,28.659,1279
592,28.6991,1235
