nm,AOxMM05,AOxMM,AOxMM50,AOxMM20
289.5,0.271,0.964,1.153,0.888
290.0,0.269,0.957,1.147,0.881
290.5,0.268,0.95,1.14,0.874
291.0,0.266,0.943,1.133,0.867
291.5,0.264,0.936,1.126,0.861
292.0,0.262,0.929,1.119,0.855
292.5,0.26,0.923,1.113,0.85
293.0,0.259,0.917,1.107,0.845
293.5,0.257,0.912,1.101,0.84
294.0,0.255,0.908,1.096,0.835
294.5,0.253,0.903,1.091,0.831
295.0,0.251,0.897,1.086,0.826
295.5,0.25,0.892,1.082,0.822
296.0,0.25,0.888,1.078,0.818
296.5,0.249,0.884,1.075,0.815
297.0,0.249,0.88,1.072,0.812
297.5,0.248,0.877,1.068,0.809
298.0,0.247,0.874,1.065,0.806
298.5,0.245,0.871,1.063,0.803
299.0,0.244,0.868,1.06,0.8
299.5,0.243,0.865,1.058,0.798
300.0,0.241,0.862,1.055,0.796
300.5,0.241,0.861,1.053,0.795
301.0,0.241,0.86,1.051,0.794
301.5,0.242,0.859,1.05,0.793
302.0,0.242,0.857,1.05,0.791
302.5,0.242,0.856,1.049,0.79
303.0,0.241,0.854,1.048,0.789
303.5,0.241,0.854,1.047,0.789
304.0,0.24,0.853,1.046,0.789
304.5,0.24,0.854,1.044,0.789
305.0,0.24,0.854,1.044,0.789
305.5,0.24,0.855,1.044,0.788
306.0,0.241,0.855,1.045,0.788
306.5,0.241,0.854,1.045,0.788
307.0,0.242,0.854,1.045,0.787
307.5,0.242,0.854,1.046,0.787
308.0,0.243,0.854,1.047,0.788
308.5,0.243,0.856,1.048,0.789
309.0,0.243,0.857,1.049,0.791
309.5,0.242,0.859,1.05,0.792
310.0,0.243,0.86,1.052,0.794
310.5,0.243,0.861,1.055,0.796
311.0,0.243,0.863,1.058,0.797
311.5,0.243,0.865,1.06,0.799
312.0,0.243,0.867,1.061,0.801
312.5,0.243,0.869,1.062,0.804
313.0,0.244,0.873,1.063,0.806
313.5,0.246,0.876,1.065,0.808
314.0,0.247,0.878,1.068,0.809
314.5,0.248,0.881,1.072,0.809
315.0,0.249,0.883,1.076,0.81
315.5,0.25,0.885,1.079,0.812
316.0,0.252,0.887,1.081,0.814
316.5,0.253,0.888,1.082,0.816
317.0,0.254,0.889,1.083,0.819
317.5,0.255,0.891,1.084,0.821
318.0,0.255,0.892,1.085,0.822
318.5,0.256,0.893,1.086,0.822
319.0,0.256,0.894,1.088,0.821
319.5,0.257,0.894,1.089,0.821
320.0,0.256,0.895,1.089,0.823
320.5,0.256,0.894,1.088,0.824
321.0,0.256,0.894,1.086,0.825
321.5,0.257,0.894,1.086,0.825
322.0,0.257,0.894,1.086,0.824
322.5,0.257,0.894,1.087,0.823
323.0,0.255,0.892,1.087,0.822
323.5,0.253,0.89,1.085,0.822
324.0,0.252,0.887,1.083,0.821
324.5,0.252,0.884,1.08,0.82
325.0,0.253,0.881,1.077,0.817
325.5,0.253,0.878,1.073,0.814
326.0,0.252,0.874,1.068,0.81
326.5,0.25,0.871,1.063,0.807
327.0,0.249,0.867,1.058,0.803
327.5,0.249,0.864,1.053,0.799
328.0,0.249,0.86,1.047,0.794
328.5,0.248,0.856,1.04,0.789
329.0,0.247,0.852,1.032,0.785
329.5,0.245,0.846,1.026,0.781
330.0,0.244,0.838,1.019,0.775
330.5,0.242,0.83,1.012,0.769
331.0,0.239,0.821,1.004,0.762
331.5,0.236,0.813,0.996,0.755
332.0,0.234,0.805,0.987,0.75
332.5,0.231,0.798,0.979,0.745
333.0,0.229,0.791,0.968,0.739
333.5,0.227,0.783,0.957,0.732
334.0,0.225,0.774,0.946,0.723
334.5,0.222,0.764,0.936,0.713
335.0,0.22,0.753,0.926,0.703
335.5,0.217,0.742,0.917,0.696
336.0,0.215,0.732,0.906,0.689
336.5,0.212,0.723,0.895,0.681
337.0,0.21,0.713,0.883,0.671
337.5,0.207,0.704,0.87,0.66
338.0,0.204,0.694,0.856,0.651
338.5,0.202,0.684,0.842,0.645
339.0,0.2,0.673,0.827,0.643
339.5,0.2,0.662,0.812,0.641
340.0,0.199,0.65,0.799,0.634
340.5,0.194,0.638,0.787,0.618
341.0,0.185,0.626,0.774,0.598
341.5,0.176,0.612,0.759,0.58
342.0,0.169,0.597,0.742,0.567
342.5,0.166,0.583,0.725,0.56
343.0,0.166,0.57,0.707,0.555
343.5,0.165,0.556,0.688,0.549
344.0,0.163,0.541,0.67,0.539
344.5,0.159,0.527,0.657,0.525
345.0,0.154,0.516,0.648,0.51
345.5,0.148,0.509,0.643,0.498
346.0,0.14,0.502,0.637,0.491
346.5,0.133,0.493,0.628,0.487
347.0,0.127,0.482,0.615,0.48
347.5,0.122,0.473,0.599,0.472
348.0,0.12,0.464,0.584,0.463
348.5,0.121,0.455,0.572,0.453
349.0,0.123,0.443,0.563,0.443
349.5,0.124,0.429,0.554,0.432
350.0,0.122,0.418,0.54,0.419
350.5,0.118,0.408,0.522,0.406
351.0,0.116,0.399,0.503,0.396
351.5,0.115,0.389,0.486,0.388
352.0,0.114,0.38,0.474,0.383
352.5,0.113,0.371,0.467,0.378
353.0,0.115,0.36,0.459,0.369
353.5,0.119,0.346,0.451,0.356
354.0,0.121,0.332,0.441,0.343
354.5,0.119,0.321,0.432,0.333
355.0,0.113,0.315,0.423,0.326
355.5,0.108,0.31,0.415,0.32
356.0,0.103,0.305,0.408,0.313
356.5,0.099,0.3,0.401,0.306
357.0,0.094,0.297,0.395,0.301
357.5,0.09,0.293,0.389,0.3
358.0,0.087,0.285,0.381,0.298
358.5,0.087,0.272,0.369,0.294
359.0,0.089,0.258,0.355,0.285
359.5,0.091,0.247,0.345,0.274
360.0,0.091,0.242,0.339,0.264
360.5,0.086,0.238,0.336,0.259
361.0,0.079,0.234,0.331,0.255
361.5,0.074,0.228,0.325,0.252
362.0,0.073,0.22,0.318,0.246
362.5,0.076,0.212,0.312,0.239
363.0,0.079,0.206,0.307,0.231
363.5,0.079,0.203,0.302,0.226
364.0,0.077,0.204,0.298,0.225
364.5,0.074,0.206,0.294,0.226
365.0,0.073,0.205,0.289,0.226
365.5,0.075,0.199,0.278,0.224
366.0,0.076,0.189,0.266,0.218
366.5,0.073,0.181,0.256,0.212
367.0,0.064,0.176,0.253,0.205
367.5,0.056,0.172,0.255,0.2
368.0,0.052,0.166,0.256,0.199
368.5,0.053,0.159,0.253,0.202
369.0,0.056,0.153,0.245,0.205
369.5,0.06,0.15,0.238,0.204
370.0,0.066,0.151,0.234,0.201
370.5,0.073,0.155,0.232,0.202
371.0,0.078,0.159,0.23,0.21
371.5,0.075,0.162,0.227,0.223
372.0,0.065,0.164,0.223,0.228
372.5,0.055,0.163,0.217,0.218
373.0,0.054,0.157,0.212,0.199
373.5,0.066,0.142,0.212,0.183
374.0,0.082,0.127,0.214,0.175
374.5,0.089,0.119,0.216,0.17
375.0,0.083,0.122,0.216,0.163
375.5,0.071,0.131,0.213,0.154
376.0,0.065,0.137,0.209,0.146
376.5,0.065,0.133,0.206,0.146
377.0,0.07,0.124,0.2,0.156
377.5,0.073,0.116,0.189,0.172
378.0,0.071,0.115,0.175,0.184
378.5,0.064,0.116,0.166,0.189
379.0,0.053,0.114,0.166,0.185
379.5,0.045,0.112,0.169,0.174
380.0,0.041,0.111,0.165,0.16
380.5,0.039,0.113,0.159,0.148
381.0,0.035,0.113,0.158,0.138
381.5,0.033,0.113,0.166,0.129
382.0,0.037,0.114,0.176,0.119
382.5,0.044,0.12,0.178,0.114
383.0,0.048,0.13,0.172,0.117
383.5,0.046,0.135,0.164,0.122
384.0,0.043,0.129,0.16,0.125
384.5,0.043,0.116,0.159,0.126
385.0,0.047,0.105,0.16,0.129
385.5,0.051,0.101,0.159,0.136
386.0,0.049,0.102,0.157,0.145
386.5,0.043,0.1,0.155,0.145
387.0,0.035,0.096,0.151,0.135
387.5,0.03,0.093,0.15,0.115
388.0,0.031,0.09,0.152,0.098
388.5,0.035,0.086,0.157,0.091
389.0,0.039,0.079,0.16,0.093
389.5,0.041,0.073,0.16,0.098
390.0,0.043,0.075,0.154,0.101
390.5,0.048,0.081,0.146,0.102
391.0,0.05,0.088,0.136,0.106
391.5,0.047,0.092,0.128,0.112
392.0,0.036,0.097,0.125,0.115
392.5,0.023,0.102,0.125,0.112
393.0,0.017,0.102,0.127,0.105
393.5,0.02,0.096,0.128,0.101
394.0,0.031,0.09,0.127,0.1
394.5,0.043,0.087,0.128,0.1
395.0,0.05,0.088,0.129,0.099
395.5,0.051,0.091,0.129,0.099
396.0,0.047,0.095,0.125,0.103
396.5,0.042,0.098,0.119,0.107
397.0,0.037,0.097,0.113,0.109
397.5,0.032,0.093,0.109,0.106
398.0,0.027,0.088,0.109,0.1
398.5,0.022,0.084,0.11,0.091
399.0,0.018,0.08,0.11,0.084
399.5,0.017,0.075,0.107,0.077
400.0,0.016,0.07,0.104,0.073
400.5,0.017,0.067,0.106,0.07
401.0,0.018,0.068,0.11,0.071
401.5,0.022,0.071,0.114,0.075
402.0,0.025,0.074,0.111,0.081
402.5,0.027,0.075,0.105,0.085
403.0,0.027,0.072,0.101,0.083
403.5,0.028,0.068,0.101,0.08
404.0,0.029,0.066,0.105,0.078
404.5,0.029,0.068,0.11,0.079
405.0,0.029,0.072,0.112,0.08
405.5,0.029,0.078,0.109,0.079
406.0,0.029,0.081,0.103,0.076
406.5,,,,
407.0,,,,
407.5,,,,
408.0,,,,
408.5,,,,
409.0,,,,
409.5,,,,
410.0,,,,
